;; -*- coding: utf-8-mcs-er -*-
C3-2121	&I-C3-2121;	丨
C3-2122	&I-C3-2122;	丶
C3-2123	&I-C3-2123;	丿
C3-2124	&I-C3-2124;	亅
C3-2125	&I-C3-2125;	丅
C3-2126	&I-C3-2126;	丄
C3-2127	&I-C3-2127;	冂
C3-2128	&I-C3-2128;	冖
C3-2129	&I-C3-2129;	匸
C3-212A	&I-C3-212A;	卩
C3-212B	&I-C3-212B;	厶
C3-212C	&I-C3-212C;	⿱𠆢丨
C3-212D	&C3-212D;	⿱&CDP-8DD8;亅
C3-212E	&I-C3-212E;	义
C3-212F	&I-C3-212F;	⿱丿几
C3-2130	&I-C3-2130;	乆
C3-2131	&I-C3-2131;	⿱一丂
C3-2132	&I-C3-2132;	⿱𠆢一
C3-2133	亾	⿺&GT-K00027;人
C3-2134	&I-C3-2134;	⿺𠃊入
C3-2135	&I-C3-2135;	⿱丨几
C3-2136	&I-C3-2136;	刄
C3-2137	&I-C3-2137;	⿰力乚
C3-2138	&I-C3-2138;	卄
C3-2139	&I-C3-2139;	夂
C3-213A	夊	夊
C3-213B	&I-C3-213B;	宀
C3-213C	&I-C3-213C;	巛
C3-213D	&I-C3-213D;	幺
C3-213E	&I-C3-213E;	广
C3-213F	&I-C3-213F;	廴
C3-2140	&I-C3-2140;	&AJ1-14521;
C3-2141	&I-C3-2141;	彑
C3-2142	&I-C3-2142;	彡
C3-2143	&I-C3-2143;	阝
C3-2144	&I-C3-2144;	⿺丈丶
C3-2145	&I-C3-2145;	⿰幺乚
C3-2146	&I-C3-2146;	⿰山乚
C3-2147	&C3-2147;	⿱亠&CDP-89AB;
C3-2148	&I-C3-2148;	内
C3-2149	&I-C3-2149;	⿰⺅又
C3-214A	&I-C3-214A;	⿰⺅厶
C3-214B	&I-C3-214B;	⿰人人
C3-214C	&C3-214C;	⿱人人
C3-214D	&I-C3-214D;	&AJ1-19173;
C3-214E	&I-C3-214E;	円
C3-214F	&I-C3-214F;	⿱冖儿
C3-2150	&I-C3-2150;	⿰冫丁
C3-2151	凤	⿵⺇又
C3-2152	&C3-2152;	⿰&C1-4443;丶
C3-2153	&I-C3-2153;	办
C3-2154	&I-C3-2154;	⿰又力
C3-2155	&C3-2155;	⿹勹人
C3-2156	&I-C3-2156;	⿹勹冫
C3-2157	&GT-03428;	⿷匸㐅
C3-2158	&I-C3-2158;	⿰十力
C3-2159	&I-C3-2159;	⿱九十
C3-215A	&I-C3-215A;	⿰&GT-K00153;⺊
C3-215B	&I-C3-215B;	⿸厂力
C3-215C	&I-C3-215C;	⿸𠂇厶
C3-215D	&I-C3-215D;	⿱厶厶
C3-215E	&I-C3-215E;	⿰&GT-K00064;又
C3-215F	&C3-215F;	⿱又又
C3-2160	&I-C3-2160;	⿰丩又
C3-2161	&I-C3-2161;	⿷土丶
C3-2162	&C3-2162;	⿱屮一
C3-2163	&I-C3-2163;	⿱一巾
C3-2164	&I-C3-2164;	⿹弋一
C3-2165	&I-C3-2165;	户
C3-2166	&I-C3-2166;	戸
C3-2167	&I-C3-2167;	攴
C3-2168	&I-C3-2168;	攵
C3-2169	&I-C3-2169;	无
C3-216A	&I-C3-216A;	㸦
C3-216B	&I-C3-216B;	⿸丿王
C3-216C	&I-C3-216C;	⿱山二
C3-216D	&I-C3-216D;	⿰⺅干
C3-216E	&I-C3-216E;	⿰⺅大
C3-216F	&I-C3-216F;	⿰⺅凡
C3-2170	&I-C3-2170;	⿱上人
C3-2171	&I-C3-2171;	⿰⺅兀
C3-2172	&I-C3-2172;	⿰⺅小
C3-2173	&I-C3-2173;	⿰⺅夕
C3-2174	㚢	⿰⺅女
C3-2175	&I-C3-2175;	⿱𠆢彡
C3-2176	&I-C3-2176;	⿱入工
C3-2177	&I-C3-2177;	⿵冂巳
C3-2178	&I-C3-2178;	⿴冂口
C3-2179	册	册
C3-217A	&I-C3-217A;	⿱冖&MJ006310;
C3-217B	&I-C3-217B;	⿸尸几
C3-217C	&GT-02432;	⿰&GT-K00199;刀
C3-217D	&I-C3-217D;	⿰千⺉
C3-217E	&I-C3-217E;	⿰幺刀
C3-2221	&I-C3-2221;	⿴囗力
C3-2222	&C3-2222;	⿹勹亡
C3-2223	&I-C3-2223;	⿹勹亾
C3-2224	&I-C3-2224;	⿹勹夕
C3-2225	&I-C3-2225;	⿻勹&CDP-89D5;
C3-2226	&I-C3-2226;	⿷匚工
C3-2227	&I-C3-2227;	⿰口卜
C3-2228	&I-C3-2228;	⿰工卩
C3-2229	&I-C3-2229;	⿸厂万
C3-222A	&I-C3-222A;	⿱大厶
C3-222B	&C3-222B;	⿱丿友
C3-222C	&I-C3-222C;	⿰口人
C3-222D	&I-C3-222D;	⿰口十
