;; -*- coding: utf-8-mcs-er -*-
M-17575 	&I-M-17575;	⿰氵咅
M-17576 	&I-M-17576;	
M-17577 	&I-M-17577;	⿰氵官
M-17578 	涬	⿰氵幸
M-17579 	&M-17579;	
M-17580 	&I-M-17580;	⿰氵刷
M-17581 	&I-M-17581;	⿰氵邯
M-17582 	&I-M-17582;	⿰氵厓
M-17583 	&I-M-17583;	⿰氵⿱⺮几
M-17584 	&I-M-17584;	⿰氵叕
M-17585 	&I-M-17585;	⿰氵長
M-17586 	&M-17586;	
M-17587 	&I-M-17587;	⿱洰土
M-17588 	&I-M-17588;	
M-17589 	&M-17589;	⿰氵空
M-17590 	𣵺	
M-17591 	&M-17591;	
M-17592 	&I-M-17592;	⿰氵盰
M-17593 	&I-M-17593;	
M-17594 	&M-17594;	⿰氵季
M-17595 	&I-M-17595;	⿰氵函
M-17596 	&I-M-17596;	⿰氵垂
M-17597 	&M-17597;	
M-17598 	&M-17598;	
M-17599 	&I-M-17599;	⿰氵亞
M-17600 	&I-M-17600;	⿰氵東
M-17601 	&I-M-17601;	⿰氵固
M-17602 	&I-M-17602;	⿰氵委
M-17603 	&I-M-17603;	⿰氵居
M-17604 	&I-M-17604;	
M-17605 	&I-M-17605;	⿰氵舍
M-17606 	&I-M-17606;	⿰氵&g2-AJ1-01688;
M-17607 	&I-M-17607;	⿰氵昏
M-17608 	&I-M-17608;	⿰氵沓
M-17609 	&I-M-17609;	⿰氵豖
M-17610 	&I-M-17610;	⿰氵定
M-17611 	&M-17611;	
M-17612 	&M-17612;	⿰氵妾
M-17613 	&I-M-17613;	⿰氵㝵
M-17614 	&I-M-17614;	
M-17615 	&M-17615;	
M-17616 	&I-M-17616;	⿰氵甾
M-17617 	&I-M-17617;	⿰氵析
M-17618 	&M-17618;	
M-17619 	&I-M-17619;	⿰氵肴
M-17620 	&I-M-17620;	⿰氵其
M-17621 	&I-M-17621;	
M-17622 	&I-M-17622;	⿰氵屈
M-17623 	&I-M-17623;	⿰氵果
M-17624 	&I-M-17624;	⿰氵臽
M-17625 	&M-17625;	
M-17626 	&I-M-17626;	⿰氵林
M-17627 	&M-17627;	
M-17628 	&I-M-17628;	
M-17629 	&I-M-17629;	
M-17630 	&M-17630;	⿰氵周
M-17631 	&I-M-17631;	⿰氵奉
M-17632 	&I-M-17632;	⿰氵昊
M-17633 	&I-M-17633;	⿰氵昌
M-17634 	&I-M-17634;	⿰氵叔
M-17635 	&I-M-17635;	⿰氵妻
M-17636 	&C2-3665;	⿰氵&C1-4F3D;
M-17637 	&M-17637;	
M-17638 	&I-M-17638;	⿰氵坴
M-17639 	&I-M-17639;	⿰氵卓
M-17640 	&I-M-17640;	
M-17641 	&I-M-17641;	⿰氵匊
M-17642 	&I-M-17642;	⿰氵匋
M-17643 	淙	⿰氵宗
M-17644 	&I-M-17644;	⿰氵&JX1-7463;
M-17645 	&I-M-17645;	⿲氵⿱巛𠔼刂
M-17646 	&I-M-17646;	⿰氵制
M-17647 	&M-17647;	
M-17648 	&I-M-17648;	
M-17649 	&I-M-17649;	⿰氵肥
M-17650 	&M-17650;	
M-17651 	&I-M-17651;	⿰氵松
M-17652 	㳺	
M-17653 	&I-M-17653;	
M-17654 	&I-M-17654;	⿰氵典
M-17655 	&I-M-17655;	⿰氵畀
M-17656 	&M-17656;	
M-17657 	&I-M-17657;	
M-17658 	&I-M-17658;	
M-17659 	&I-M-17659;	
M-17660 	&I-M-17660;	⿰氵炎
M-17661 	㳼	
M-17662 	&I-M-17662;	⿰氵或
M-17663 	&M-17663;	
M-17664 	&I-M-17664;	⿰氵兒
M-17665 	&I-M-17665;	⿰氵於
M-17666 	&I-M-17666;	⿰氵彔
M-17667 	&I-M-17667;	⿰氵金
M-17668 	&M-17668;	⿰氵宓
M-17669 	&I-M-17669;	
M-17670 	&C2-364A;	
M-17671 	&C3-367E;	
M-17672 	&I-M-17672;	
M-17673 	&M-17673;	
M-17674 	&I-M-17674;	
M-17675 	&I-M-17675;	⿰氵侖
M-17676 	&C4-3258;	
M-17677 	&I-M-17677;	
M-17678 	&I-M-17678;	
M-17679 	&I-M-17679;	⿰氵卒
M-17680 	&I-M-17680;	⿰氵⿸戶木
M-17681 	&I-M-17681;	⿰氵&M-14564;
M-17682 	&I-M-17682;	
M-17683 	&I-M-17683;	⿰氵&MJ020960;
M-17684 	&I-M-17684;	⿰氵奅
M-17685 	&I-M-17685;	⿰氵念
M-17686 	&I-M-17686;	
M-17687 	&I-M-17687;	⿰氵罙
M-17688 	&M-17688;	
M-17689 	&AJ1-08522;	⿰氵&AJ1-01931;
M-17690 	&I-M-17690;	⿰氵&g2-AJ1-01687;
M-17691 	&I-M-17691;	⿰氵忽
M-17692 	&I-M-17692;	⿰氵𣶒
M-17693 	&I-M-17693;	⿰氵來
M-17694 	&I-M-17694;	⿰氵昆
M-17695 	&I-M-17695;	⿰氵靑
M-17695'	清	⿰氵青
M-17696 	&I-M-17696;	⿰氵奄
M-17697 	&I-M-17697;	⿰氵戔
M-17698 	&I-M-17698;	
M-17699 	&I-M-17699;	⿱水⿰水水
M-17700 	&C6-413B;	
