;; -*- coding: utf-8-mcs-er -*-
M-48903 	&I-M-48903;	⿱&GT-K00264;丂
M-48904 	&I-M-48904;	⿱&I-CDP-8B55;丂
M-48905 	&I-M-48905;	
M-48906 	&I-M-48906;	⿳丿⺌丂
M-48907 	&I-M-48907;	
M-48908 	&I-M-48908;	⿰&CDP-8CAC;&CDP-8CAC;
M-48909 	&I-M-48909;	⿰𠂤不
M-48910 	&I-M-48910;	
M-48911 	&I-M-48911;	⿰⿸𠂋㔾甫
M-48912 	&M-48912;	
M-48913 	&M-48913;	
M-48914 	&M-48914;	⿳&AJ1-04110;厶&CDP-856A;
M-48915 	&I-M-48915;	⿱&CDP-8AFC;⿱一&CDP-8660;
M-48916 	&C3-2272;	⿰亻勻
M-48917 	&I-M-48917;	⿰亻末
M-48918 	&I-M-48918;	⿱&CDP-8AFC;夗
M-48919 	&I-M-48919;	⿱从&CDP-8BE8;
M-48920 	&M-48920;	⿱⿱𠆢䒑&CDP-8BE8;
M-48921 	𠋝	⿰亻眇
M-48922 	&M-48922;	⿱⿵𠆢土美
M-48923 	&M-48923;	
M-48924 	&M-48924;	⿰亻⿳⿻𦥑囟大㔾
M-48925 	&I-M-48925;	
M-48926 	&I-M-48926;	⿸⿱丷尸儿
M-48927 	&I-M-48927;	⿱元电
M-48928 	&I-M-48928;	⿱元⿻𦥑乚
M-48929 	&I-M-48929;	⿰光&C1-615E;
M-48930 	&M-48930;	⿰光睪
M-48931 	&I-M-48931;	
M-48932 	&I-M-48932;	⿵冂卄
M-48933 	&I-M-48933;	⿱一冉
M-48934 	&I-M-48934;	⿰冂⿱䒑小
M-48935 	&I-M-48935;	
M-48936 	&I-M-48936;	
M-48937 	&I-M-48937;	⿰册刂
M-48938 	&I-M-48938;	⿰𠕋刂
M-48939 	剥	⿰录刂
M-48940 	&I-M-48940;	⿰⿳艹巛夕刂
M-48941 	&I-M-48941;	⿱⿰未攴⿸厂刀
M-48942 	&I-M-48942;	⿰出力
M-48943 	&I-M-48943;	⿺克力
M-48944 	&I-M-48944;	
M-48945 	&I-M-48945;	
M-48946 	&M-48946;	
M-48947 	&M-48947;	
M-48948 	&M-48948;	
M-48949 	&M-48949;	
M-48950 	&I-M-48950;	
M-48951 	&I-M-48951;	⿱占&CDP-85F8;
M-48952 	&I-M-48952;	⿰⿱&CDP-8CAC;心卩
M-48953 	&I-M-48953;	⿱丷⿸厂&CDP-8C44;
M-48954 	&I-M-48954;	⿸厂⿱合缶
M-48955 	&M-48955;	
M-48956 	&I-M-48956;	⿱㐅厷
M-48957 	&I-M-48957;	
M-48958 	&M-48958;	⿱埶云
M-48959 	&M-48959;	⿰枲&MJ007897;
M-48960 	&I-M-48960;	⿰卪又
M-48961 	&M-48961;	
M-48962 	𠭣	
M-48963 	&I-M-48963;	⿰彖又
M-48964 	&M-48964;	
M-48965 	&I-M-48965;	
M-48966 	&M-48966;	
M-48967 	&M-48967;	
M-48968 	&M-48968;	
M-48969 	&I-M-48969;	⿱⺈口
M-48970 	&I-M-48970;	⿱夭口
M-48971 	&I-M-48971;	⿰口攵
M-48972 	&I-M-48972;	⿰口朿
M-48973 	&I-M-48973;	⿰口夅
M-48974 	&M-48974;	⿰口⿱衣十
M-48975 	&I-M-48975;	⿱五吾
M-48976 	&M-48976;	
M-48977 	&M-48977;	
M-48978 	&I-M-48978;	⿰口⿱目攵
M-48979 	&I-M-48979;	⿰口𥄉
M-48980 	&M-48980;	
M-48981 	&M-48981;	
M-48982 	&I-M-48982;	⿰⿱口&CDP-88AE;甫
M-48983 	&M-48983;	
M-48984 	&I-M-48984;	⿰&CDP-8C7A;⿳口曲日
M-48985 	&M-48985;	
M-48986 	&M-48986;	
M-48987 	&M-48987;	
M-48988 	&I-M-48988;	⿱襾土
M-48989 	&I-M-48989;	⿰去&MJ007989;
M-48990 	𡎐	
M-48991 	&I-M-48991;	⿰土烝
M-48992 	&I-M-48992;	
M-48993 	&I-M-48993;	⿰土𡍮
M-48994 	&M-48994;	
M-48995 	&I-M-48995;	⿱⿹弓⿴囗&CDP-89D5;圭
M-48996 	&M-48996;	
M-48997 	&I-M-48997;	⿰土⿳廿&CDP-85B2;土
M-48998 	&M-48998;	
M-48999 	&I-M-48999;	⿱山墾
M-49000 	&I-M-49000;	⿱⿰𨸏彖土
M-49001 	&I-M-49001;	
M-49002 	&I-M-49002;	⿱仉壬
M-49003 	&I-M-49003;	⿱⿱士冖壴
M-49004 	&C6-3E3C;	
M-49005 	&I-M-49005;	⿰⿱夕&CDP-885E;⿱𠆢二
M-49006 	&I-M-49006;	⿱名井
M-49007 	&I-M-49007;	⿰⿱夕&CDP-885E;⿱勿⿰&MJ056865;&MJ056865;
M-49008 	&I-M-49008;	⿱大丣
M-49009 	&M-49009;	
M-49010 	&M-49010;	⿰㚔丮
M-49011 	&I-M-49011;	⿱⿱⺊⿴囗&CDP-88C0;大
M-49012 	&I-M-49012;	
M-49013 	&I-M-49013;	⿰女𠕋
M-49014 	&M-49014;	
M-49015 	&M-49015;	
M-49016 	&I-M-49016;	⿰女戚
M-49017 	&M-49017;	
M-49018 	&I-M-49018;	⿰女⿱𡗜炅
M-49019 	&I-M-49019;	⿰女⿱鹵&CDP-8941;
M-49020 	&M-49020;	
M-49021 	&I-M-49021;	⿱⿰未攵子
M-49022 	&M-49022;	
M-49023 	&M-49023;	
M-49024 	&M-49024;	
M-49025 	&M-49025;	
M-49026 	&M-49026;	
M-49027 	𡩷	
M-49028 	&M-49028;	
M-49029 	&M-49029;	
M-49030 	&M-49030;	
M-49031 	&M-49031;	
M-49032 	𡮂	
M-49033 	&M-49033;	⿺尢左
M-49034 	&M-49034;	⿺尢虫
M-49035 	&I-M-49035;	⿺&CDP-8DEF;皮
M-49036 	&M-49036;	
M-49037 	&I-M-49037;	⿺尢㞷
M-49038 	&I-M-49038;	⿺⺏㞷
M-49039 	&I-M-49039;	⿺⺏奄
M-49040 	&I-M-49040;	⿺⺏尢
M-49041 	&M-49041;	
M-49042 	&M-49042;	
M-49043 	&I-M-49043;	⿰尸⿱&CDP-8C78;刀
M-49044 	&M-49044;	
M-49045 	&I-M-49045;	⿱⿳丿⿵&CDP-8BC0;㐅一𡳾
M-49046 	&I-M-49046;	⿱山山
M-49047 	&I-M-49047;	⿱山幺
M-49048 	&I-M-49048;	⿰丸山
M-49049 	&I-M-49049;	⿳山⿵𠆢丶丫
M-49050 	&M-49050;	
M-49051 	&M-49051;	
M-49052 	&M-49052;	
M-49053 	&M-49053;	
M-49054 	&I-M-49054;	⿰山原
M-49055 	&M-49055;	⿰山&AJ1-05065;
M-49056 	&I-M-49056;	⿱單山
M-49057 	&M-49057;	⿰山罪
M-49058 	&M-49058;	
M-49059 	&M-49059;	
M-49060 	&I-M-49060;	⿰山⿱𠂹⿸丆工
M-49061 	&M-49061;	⿰山龍
M-49062 	&M-49062;	
M-49063 	&I-M-49063;	⿱亾巛
M-49064 	&C3-235B;	⿱亾𫶧
M-49065 	巟	⿱&MJ006462;𫶧
M-49066 	&M-49066;	
M-49067 	&I-M-49067;	⿰巾君
M-49068 	&M-49068;	
M-49069 	&I-M-49069;	⿱叔巾
M-49070 	&I-M-49070;	
M-49071 	&I-M-49071;	
M-49072 	&M-49072;	
M-49073 	&M-49073;	
M-49074 	&I-M-49074;	⿰幺𠄏
M-49075 	&I-M-49075;	⿱⿰召⻏𢆯
M-49076 	&I-M-49076;	
M-49077 	&MJ035419;	
M-49078 	&M-49078;	⿸广歛
M-49079 	&I-M-49079;	⿱与廾
M-49080 	&I-M-49080;	
M-49081 	&M-49081;	
M-49082 	&I-M-49082;	⿳⿻&CDP-8B56;囟⿻&CDP-8B56;囟廾
M-49083 	&I-M-49083;	
M-49084 	&I-M-49084;	
M-49085 	&I-M-49085;	⿹弓⿲⿳人人丨⿳人人丨⿳人人丨
M-49086 	&M-49086;	
M-49087 	&I-M-49087;	⿱⿲弓每弓⿲弓畐弓
M-49088 	&I-M-49088;	
M-49089 	&I-M-49089;	⿰⿱⺔⿱&CDP-89A6;巾帇
M-49090 	&M-49090;	⿰曶⿳彐&CDP-89A6;巾
M-49091 	&M-49091;	
M-49092 	&I-M-49092;	⿰彳⿳日出⿱大&AJ1-13852;
M-49093 	&I-M-49093;	⿱土心
M-49094 	&I-M-49094;	⿰⺖⿸𠂇土
M-49095 	&M-49095;	
M-49096 	&I-M-49096;	⿰⺖⿱&CDP-89B3;又
M-49097 	&I-M-49097;	⿱白心
M-49098 	&I-M-49098;	⿰⺖圭
M-49099 	&I-M-49099;	⿱⿱丿凶心
M-49100 	&I-M-49100;	⿰⺖狂
M-49101 	&I-M-49101;	⿱孛心
M-49102 	&I-M-49102;	⿰⺖奉
M-49103 	&I-M-49103;	⿱&CDP-8CA6;⿰心卪
M-49104 	&I-M-49104;	⿰⺖⿰矛攵
M-49105 	&I-M-49105;	⿱民思
M-49106 	&I-M-49106;	⿰恧&MJ006315;
M-49107 	&M-49107;	⿰⺖悶
M-49108 	&M-49108;	⿰⺖閑
M-49109 	&M-49109;	⿰⺖彖
M-49110 	&I-M-49110;	
M-49111 	&M-49111;	
M-49112 	&M-49112;	
M-49113 	&I-M-49113;	⿱隋心
M-49114 	&M-49114;	
M-49115 	&M-49115;	⿰⺖⿱炎舛
M-49116 	&M-49116;	
M-49117 	&I-M-49117;	⿰⺖麇
M-49118 	&M-49118;	
M-49119 	&I-M-49119;	⿰戈⿹⺄&CDP-88C6;
M-49120 	&M-49120;	
M-49121 	&I-M-49121;	⿹戈含
M-49122 	&C4-3D41;	
M-49123 	&M-49123;	⿰⿱山炅戈
