;; -*- coding: utf-8-mcs-er -*-
HZK01-C947	&I-HZK01-C947;	⿰⺅&CDP-8CCE;
HZK01-C948	𠓳	⿱&MJ007267;&CDP-87FE;
HZK01-C949	&I-HZK01-C949;	⿰会勿
HZK01-C94B	&I-HZK01-C94B;	⿱入林
HZK01-C94C	&I-HZK01-C94C;	⿱&CDP-8D5B;&CDP-8CC6;
HZK01-A4A3	&I-HZK01-A4A3;	⿱一一
HZK01-C94D	&HZK01-C94D;	⿱&CDP-8AFC;皀
HZK01-C94E	&HZK01-C94E;	⿳&CDP-8AFC;白厶
HZK01-C94F	&I-HZK01-C94F;	⿱入靣
HZK01-C950	&I-HZK01-C950;	⿳𠆢&CDP-88B9;⺌一
HZK01-C951	&I-HZK01-C951;	从人人人
HZK01-C952	&I-HZK01-C952;	⿳𠆢&GT-39640;&CDP-8BE8;
HZK01-C953	&I-HZK01-C953;	⿱𠆢炎
HZK01-C954	&I-HZK01-C954;	⿳𠆢丷术一
HZK01-C968	&I-HZK01-C968;	⿰⺅责
HZK01-C96D	&HZK01-C96D;	⿰⺅刼
HZK01-C9A9	&I-HZK01-C9A9;	⿰⺅亞
HZK01-A647	&I-HZK01-A647;	⿱二二
HZK01-A6A8	&I-HZK01-A6A8;	⿱一&CDP-85C0;
HZK01-A6AB	&I-HZK01-A6AB;	⿳一㐅一
HZK01-A6AC	&I-HZK01-A6AC;	⿺丈丶
HZK01-C9AB	&HZK01-C9AB;	⿰⺅耶
HZK01-C9AC	𠉧	⿰⺅取
HZK01-C9AF	䣏	⿰供阝
HZK01-C9C9	&I-HZK01-C9C9;	⿰⺅林
HZK01-C9CA	&I-HZK01-C9CA;	⿰⺅來
HZK01-C9CC	&I-HZK01-C9CC;	⿰⺅東
HZK01-C9CF	&I-HZK01-C9CF;	⿰⺅𠀬
HZK01-C9D0	&I-HZK01-C9D0;	⿰⺅厓
HZK01-C9D2	&I-HZK01-C9D2;	⿰⺅奔
HZK01-A6EA	&I-HZK01-A6EA;	⿱一&CDP-88B1;
HZK01-A74B	&I-HZK01-A74B;	⿱卝一
HZK01-A769	&HZK01-A769;	⿱一&CDP-87F0;
HZK01-A7AC	&I-HZK01-A7AC;	⿱一兮
HZK01-A7AD	&I-HZK01-A7AD;	⿱从一
HZK01-A7AE	&I-HZK01-A7AE;	⿱引一
HZK01-A7B0	&I-HZK01-A7B0;	一&CDP-89C2;人
HZK01-A7B1	&I-HZK01-A7B1;	⿴互丶
HZK01-A7B2	&I-HZK01-A7B2;	⿳⿰&CDP-895C;&CDP-895C;一
HZK01-A7B3	&I-HZK01-A7B3;	⿱一𡗚
HZK01-A7B4	&I-HZK01-A7B4;	⿱天&CDP-89AB;
HZK01-A7B5	&I-HZK01-A7B5;	⿱北一
HZK01-A7B6	&I-HZK01-A7B6;	⿴廿㐅
HZK01-A7B9	&I-HZK01-A7B9;	⿱下上
HZK01-A7CC	&I-HZK01-A7CC;	⿳⿰一一⿰冂冂
HZK01-A7ED	&HZK01-A7ED;	⿱屯二
HZK01-A7EE	&I-HZK01-A7EE;	⿴二&CDP-87EC;
HZK01-A7F1	&I-HZK01-A7F1;	⿱&CDP-87EB;一
HZK01-A7F3	&I-HZK01-A7F3;	⿱𠫔&CDP-8665;
HZK01-A7F5	&I-HZK01-A7F5;	⿳⿰大大一
HZK01-A7F6	&HZK01-A7F6;	⿱一&AJ1-02065;
HZK01-A7F7	&I-HZK01-A7F7;	一丨日一
HZK01-A86E	&I-HZK01-A86E;	⿱一⿰⿵冂丶⿵冂丶
HZK01-A86F	&I-HZK01-A86F;	一冂巳一
HZK01-A870	&I-HZK01-A870;	⿱一先
HZK01-A872	&I-HZK01-A872;	⿰&MJ010942;丁
HZK01-A873	&I-HZK01-A873;	⿳一外一
HZK01-A875	&HZK01-A875;	⿳一&CDP-88EE;&CDP-87EA;
HZK01-A876	&I-HZK01-A876;	⿱一州
HZK01-A8AE	&I-HZK01-A8AE;	⿱&CDP-8A65;&CDP-8CC6;
HZK01-A8AF	&I-HZK01-A8AF;	⿱釆𠃌
HZK01-CA6B	&HZK01-CA6B;	⿰⺅些
HZK01-CA6D	&I-HZK01-CA6D;	⿰⺅⿱虍人
HZK01-CA6E	&HZK01-CA6E;	⿰⺅虎
HZK01-CAAC	&AJ1-14329;	⿸⿰&CDP-8B7A;夂火
HZK01-CAAE	&I-HZK01-CAAE;	⿸⿰&CDP-8B7A;夂日
HZK01-CACE	&I-HZK01-CACE;	⿰⺅果
HZK01-CAEC	&I-HZK01-CAEC;	⿰⺅易
HZK01-CAEF	𠉬	⿰⺅⿱⿰口口厂
HZK01-CB4D	&I-HZK01-CB4D;	⿰⺅沓
HZK01-CB4E	&I-HZK01-CB4E;	⿰⺅沝
HZK01-CB50	&I-HZK01-CB50;	⿰⺅知
HZK01-CB51	&I-HZK01-CB51;	⿰⺅𠜎
HZK01-CB52	&I-HZK01-CB52;	⿰⺅和
HZK01-CB53	&I-HZK01-CB53;	⿰⺅季
HZK01-CB6F	&HZK01-CB6F;	⿰⺅欣
HZK01-CB70	&I-HZK01-CB70;	⿰⺅往
