;; -*- coding: utf-8-mcs-er -*-
HZK03-A446	&HZK03-A446;	⿰彳丕
HZK03-A447	&HZK03-A447;	⿰彳占
HZK03-A449	&HZK03-A449;	⿰彳由
HZK03-A44A	&HZK03-A44A;	⿰彳冉
HZK03-A44B	&HZK03-A44B;	⿰彳生
HZK03-A44C	&HZK03-A44C;	⿰彳乍
HZK03-A44D	&HZK03-A44D;	行亻
HZK03-A44E	&HZK03-A44E;	行人
HZK03-A467	&HZK03-A467;	行九
HZK03-A469	&HZK03-A469;	⿰彳句
HZK03-A46A	&HZK03-A46A;	⿰彳冬
HZK03-A46C	&HZK03-A46C;	⿰彳&GT-33181;
HZK03-A46E	&HZK03-A46E;	⿲彳弓人
HZK03-A4A8	&HZK03-A4A8;	彳&CDP-89E1;工
HZK03-A4A9	&HZK03-A4A9;	⿰彳圣
HZK03-A4AB	&HZK03-A4AB;	⿲彳龶卩
HZK03-A4AC	&HZK03-A4AC;	⿰彳刑
HZK03-A4AD	&HZK03-A4AD;	⿰彳&GT-K01640;
HZK03-A4C8	&HZK03-A4C8;	⿰彳圭
HZK03-A4C9	&HZK03-A4C9;	⿰彳吉
HZK03-A4CA	&HZK03-A4CA;	⿰彳地
HZK03-A4CB	&HZK03-A4CB;	⿰彳朿
HZK03-A4CD	&HZK03-A4CD;	行一亻
HZK03-A4CE	&HZK03-A4CE;	⿰彳夸
HZK03-A4CF	&HZK03-A4CF;	行尢
HZK03-A4D0	&HZK03-A4D0;	⿰彳夷
HZK03-A4D1	&HZK03-A4D1;	⿰彳&C1-483A;
HZK03-A4D2	&HZK03-A4D2;	⿲彳丨冬
HZK03-A4D3	&HZK03-A4D3;	⿰彳同
HZK03-A4D4	&HZK03-A4D4;	⿰彳因
HZK03-A4D5	&HZK03-A4D5;	行山
HZK03-A4D7	&HZK03-A4D7;	⿰彳先
HZK03-A4D8	&HZK03-A4D8;	⿰彳&CDP-88DA;
HZK03-A4D9	&HZK03-A4D9;	⿰彳合
HZK03-A4DA	&HZK03-A4DA;	⿰彳兆
HZK03-A4DB	&HZK03-A4DB;	彳&GT-01888;允
HZK03-A4E8	&HZK03-A4E8;	⿰彳各
HZK03-A4EA	&HZK03-A4EA;	⿰彳州
HZK03-A56A	&HZK03-A56A;	⿰彳丞
HZK03-A5AB	&HZK03-A5AB;	行开
HZK03-A5AC	&HZK03-A5AC;	行元
HZK03-A5CB	&HZK03-A5CB;	⿰彳吾
HZK03-A5CC	&HZK03-A5CC;	⿰彳&G0-7539;
HZK03-A5CD	&HZK03-A5CD;	⿱不行
HZK03-A5CE	&HZK03-A5CE;	⿰彳&CDP-8DCF;
HZK03-A5CF	&HZK03-A5CF;	⿰彳来
HZK03-A5D0	&HZK03-A5D0;	行旡
HZK03-C96D	&HZK03-C96D;	𠂆巳
HZK03-C96E	&HZK03-C96E;	⿱己己
HZK03-C96F	&HZK03-C96F;	⿰弓己
HZK03-C970	&HZK03-C970;	⿱氶巳
HZK03-C971	&HZK03-C971;	⿰召巳
HZK03-C972	&HZK03-C972;	夫凵巳
HZK03-C974	&HZK03-C974;	⿰𦣝巳
HZK03-C975	&HZK03-C975;	⿰𠂤巳
HZK03-C976	&HZK03-C976;	⿳⿰巳巳一&GT-01888;
HZK03-C978	&HZK03-C978;	⿱共巴
HZK03-C979	&HZK03-C979;	彡止己
HZK03-C97A	&HZK03-C97A;	⿱&CDP-8763;巳
HZK03-C97B	&HZK03-C97B;	⿱丞巴
HZK03-C97C	&HZK03-C97C;	⿱其巳
HZK03-A5EB	&HZK03-A5EB;	⿰彳&M-16264;
HZK03-A5EC	&HZK03-A5EC;	⿰彳肖
HZK03-A5ED	&HZK03-A5ED;	⿲彳丨&CDP-8CDD;
HZK03-A5EE	&HZK03-A5EE;	彳目匕
HZK03-A5EF	&HZK03-A5EF;	彳日夂
HZK03-A5F0	&HZK03-A5F0;	行日
HZK03-A5F1	&HZK03-A5F1;	⿰彳甹
HZK03-A5F2	&HZK03-A5F2;	⿰彳&M-03363;
HZK03-A5F3	&HZK03-A5F3;	彳屮王
HZK03-A5F4	&HZK03-A5F4;	⿲彳午卪
HZK03-A5F5	&HZK03-A5F5;	⿰彳秀
