;; -*- coding: utf-8-mcs-er -*-
HZK04-A44A	&HZK04-A44A;	⿰木&CDP-8DA1;
HZK04-A44D	&I-HZK04-A44D;	⿱其木
HZK04-A46A	&HZK04-A46A;	⿰木&B-CDB6;
HZK04-A46C	&HZK04-A46C;	⿰木芺
HZK04-A46D	&HZK04-A46D;	⿰木&JX1-7A63;
HZK04-A46F	&HZK04-A46F;	⿰木&GT-39768;
HZK04-A4AB	&HZK04-A4AB;	⿰木⿱十&CDP-88AE;
HZK04-A4AD	&HZK04-A4AD;	⿱林木
HZK04-A4AE	&I-HZK04-A4AE;	⿰&CDP-88C7;果
HZK04-A4CB	&HZK04-A4CB;	⿱林厹
HZK04-A4CC	&I-HZK04-A4CC;	⿱林冗
HZK04-A4CD	&I-HZK04-A4CD;	⿱析木
HZK04-A4CE	&HZK04-A4CE;	⿱&CDP-8D52;果
HZK04-A4D1	&HZK04-A4D1;	⿳&CDP-88DD;冖木
HZK04-A4D2	&HZK04-A4D2;	⿰木事
HZK04-A4EC	&HZK04-A4EC;	⿰木&GT-01871;
HZK04-A4ED	&HZK04-A4ED;	⿰木&B-AB42;
HZK04-A4EE	&I-HZK04-A4EE;	⿰木卖
HZK04-A4EF	&HZK04-A4EF;	⿰木&M-02926;
HZK04-A4F0	&HZK04-A4F0;	⿰木𡊵
HZK04-A4F1	&HZK04-A4F1;	⿰木郁
HZK04-A4F2	&HZK04-A4F2;	⿳十𡆪木
HZK04-A4F4	&HZK04-A4F4;	⿰木奄
HZK04-C950	&HZK04-C950;	⿰歹莫
HZK04-C951	&HZK04-C951;	⿱莫歹
HZK04-C952	&I-HZK04-C952;	⿰歹曹
HZK04-C953	&I-HZK04-C953;	⿰歹&M-02691;
HZK04-C955	&I-HZK04-C955;	⿰歹崔
HZK04-C958	&I-HZK04-C958;	⿰&CDP-8DAC;&B-B3BD;
HZK04-C959	&HZK04-C959;	⿰歹&B-B3C0;
HZK04-C95A	&I-HZK04-C95A;	⿰歹竟
HZK04-C95C	&I-HZK04-C95C;	⿰歹宿
HZK04-A54D	&HZK04-A54D;	⿱來&GT-01891;
HZK04-A54E	&HZK04-A54E;	⿰木𢆎
HZK04-A550	&HZK04-A550;	⿰木疌
HZK04-A552	&I-HZK04-A552;	⿱斩木
HZK04-A5AE	&HZK04-A5AE;	⿰木&C1-4B68;
HZK04-A5AF	&HZK04-A5AF;	⿰木⿱止⿰&CDP-87F5;&I-G0-5356;
HZK04-A5B1	&CB06743;	⿰木&GT-44178;
HZK04-A5B2	&HZK04-A5B2;	⿰木&CDP-8CAA;
HZK04-A5B3	&HZK04-A5B3;	⿰木尙
HZK04-A5B5	&I-HZK04-A5B5;	⿰木&CDP-8ACD;
HZK04-A5B7	&HZK04-A5B7;	⿳目大木
