;; -*- coding: utf-8-mcs-er -*-
HZK05-A46C	&HZK05-A46C;	⿰⺡⿱玄儿
HZK05-A46D	&HZK05-A46D;	⿰⺡⿵门王
HZK05-A46E	&HZK05-A46E;	⿰⺡⿵门日
HZK05-A4B1	&HZK05-A4B1;	⿰⺡⿱宀丏
HZK05-A4CE	&HZK05-A4CE;	⿰⺡&B-A875;
HZK05-A4CF	&HZK05-A4CF;	⿰⺡⿱冖弘
HZK05-A4D2	&HZK05-A4D2;	⿰⺡即
HZK05-A4D3	&HZK05-A4D3;	⿲⺡尸&CDP-8C79;
HZK05-A4D4	&HZK05-A4D4;	⿰⺡⿸尸止
HZK05-A4D5	&HZK05-A4D5;	⿰⺡尿
HZK05-A4EF	&HZK05-A4EF;	⿲⺡弓长
HZK05-A4F0	&HZK05-A4F0;	⿰⺡壯
HZK05-A4F1	&HZK05-A4F1;	⿲⺡&CDP-8B43;㐌
HZK05-A4F2	&HZK05-A4F2;	⿰⺡&B-AAFB;
HZK05-A4F3	&HZK05-A4F3;	⿰⺡⿱刃止
HZK05-C953	&HZK05-C953;	⿰&CDP-8BA9;干
HZK05-A54F	&HZK05-A54F;	⿰⺡𣧄
HZK05-A550	&HZK05-A550;	⿱或水
HZK05-A551	&HZK05-A551;	⿳由夕水
HZK05-A552	&HZK05-A552;	⿲水水水
HZK05-A554	&HZK05-A554;	⿲⿱水水攵
HZK05-A555	&HZK05-A555;	⿰沝欠
HZK05-A556	&HZK05-A556;	⿱水囗&CDP-8BFD;
HZK05-A557	&HZK05-A557;	⿱&B-AAF7;水
HZK05-A558	&HZK05-A558;	⿰⺡奉
HZK05-A5B1	&HZK05-A5B1;	⿰⺡责
HZK05-A5B2	&HZK05-A5B2;	⿰⺡&CDP-8746;
HZK05-A5B3	&HZK05-A5B3;	⿰⺡⿱天井
HZK05-A5B5	&HZK05-A5B5;	⿰⺡&B-AAF8;
HZK05-A5B6	&HZK05-A5B6;	⿰⺡⿱土石
HZK05-A5B7	&HZK05-A5B7;	⿰⺡⿳十⺾兀
HZK05-A5D1	&HZK05-A5D1;	⿲⺡土且
HZK05-A5D2	&HZK05-A5D2;	⿰江冉
HZK05-A5D3	&HZK05-A5D3;	⿲⺡⺘&CDP-8C55;
HZK05-C973	&HZK05-C973;	⿰&CDP-8BA9;弋
HZK05-C974	&HZK05-C974;	⿰&CDP-8BA9;口
HZK05-C975	&HZK05-C975;	⿰&CDP-8BA9;&CDP-8AF0;
HZK05-C976	&HZK05-C976;	⿰&CDP-8BA9;川
HZK05-C977	&HZK05-C977;	⿰&CDP-8BA9;亡
HZK05-A5F1	&HZK05-A5F1;	⿰⺡亞
HZK05-A5F3	&HZK05-A5F3;	⿰⺡𣏼
HZK05-A5F4	&HZK05-A5F4;	⿰⺡邯
HZK05-A5F6	&HZK05-A5F6;	⿰⺡昔
HZK05-A5F7	&HZK05-A5F7;	⿰⺡芺
HZK05-A5F9	&HZK05-A5F9;	⿰⺡花
HZK05-A5FA	&HZK05-A5FA;	⿰⺡&C3-2E6D;
HZK05-A653	&HZK05-A653;	⿰⺡𠦝
HZK05-A655	&HZK05-A655;	⿰⺡枉
HZK05-A657	&HZK05-A657;	⿰沐片
HZK05-A674	&HZK05-A674;	⿰⺡叀
HZK05-A676	&HZK05-A676;	⿰⺡&GT-00145;
HZK05-A677	&HZK05-A677;	⿰⺡卖
HZK05-A6B6	&HZK05-A6B6;	⿰⺡奅
HZK05-A6B7	&HZK05-A6B7;	⿰⺡&CDP-8ABA;
HZK05-A6D4	&HZK05-A6D4;	⿰⺡疌
HZK05-A6D6	&HZK05-A6D6;	⿲⺡&CDP-8967;斤
HZK05-C9B7	&HZK05-C9B7;	⿰&CDP-8BA9;天
HZK05-C9B8	&HZK05-C9B8;	⿰&CDP-8BA9;&M-14416;
HZK05-C9B9	&HZK05-C9B9;	⿰&CDP-8BA9;巿
HZK05-C9BA	&HZK05-C9BA;	⿰&CDP-8BA9;不
