;; -*- coding: utf-8-mcs-er -*-
HZK06-A44F	&HZK06-A44F;	⿱父邪
HZK06-A450	&HZK06-A450;	⿱父同
HZK06-A452	&HZK06-A452;	⿱父邑
HZK06-A453	&HZK06-A453;	⿳父&GT-36329;丁
HZK06-C940	&HZK06-C940;	⿰火奄
HZK06-C941	&I-HZK06-C941;	⿱止炅
HZK06-A454	&HZK06-A454;	⿱父者
HZK06-A456	&HZK06-A456;	⿳父屾&GT-07201;
HZK06-A457	&HZK06-A457;	⿳亠&B-AB41;父
HZK06-A458	&HZK06-A458;	⿱⿰父⺶⿰九手
HZK06-A470	&HZK06-A470;	⿱丿月
HZK06-A472	&I-HZK06-A472;	⿰⺼丁
HZK06-A4D1	&I-HZK06-A4D1;	⿰⺼丂
HZK06-A4D2	&HZK06-A4D2;	⿰⺼人
HZK06-A4D3	&I-HZK06-A4D3;	⿰⺼&GT-01850;
HZK06-A4D4	&I-HZK06-A4D4;	⿰⺼&GT-01888;
HZK06-A4D5	&HZK06-A4D5;	⿱八&CDP-8958;
HZK06-A4D7	&HZK06-A4D7;	⿰⺼九
HZK06-A4D8	&I-HZK06-A4D8;	⿰⺼匕
HZK06-A4D9	&HZK06-A4D9;	⿱冖&CDP-8958;
HZK06-A4F2	&I-HZK06-A4F2;	⿰⺼&CDP-88B5;
HZK06-A4F4	&HZK06-A4F4;	⿰⺼于
HZK06-A4F5	&HZK06-A4F5;	⿰⺼亏
HZK06-A4F6	&I-HZK06-A4F6;	⿹亐&GT-37857;
HZK06-A4FA	&HZK06-A4FA;	⿰⺼丌
HZK06-C956	&I-HZK06-C956;	⿰火&CDP-8CAA;
HZK06-C957	&HZK06-C957;	⿰火果
HZK06-C95A	&HZK06-C95A;	⿰火昌
HZK06-C95C	&HZK06-C95C;	⿱⿰日日火
HZK06-C95E	&HZK06-C95E;	⿰火易
HZK06-C95F	&HZK06-C95F;	⿰火岡
HZK06-C960	&I-HZK06-C960;	⿱物火
HZK06-C961	&I-HZK06-C961;	⿰火委
HZK06-C962	&HZK06-C962;	⿰火&B-AB41;
HZK06-A552	&HZK06-A552;	⿰丌&GT-37857;
