;; -*- coding: utf-8-mcs-er -*-
HZK07-A452	&I-HZK07-A452;	⿰石&M-30184;
HZK07-A453	&I-HZK07-A453;	⿰石&AJ1-05365;
HZK07-C940	&I-HZK07-C940;	⿰禾苴
HZK07-C942	&I-HZK07-C942;	⿰禾苗
HZK07-C943	&I-HZK07-C943;	⿰禾英
HZK07-A454	&I-HZK07-A454;	⿰石般
HZK07-A456	&I-HZK07-A456;	⿰石豹
HZK07-A458	&I-HZK07-A458;	⿰石&GT-36863;
HZK07-A459	&I-HZK07-A459;	⿰石烏
HZK07-A45A	&I-HZK07-A45A;	⿰石&HD-JA-6243;
HZK07-A472	&I-HZK07-A472;	⿰石留
HZK07-A474	&I-HZK07-A474;	⿰石郭
HZK07-A475	&I-HZK07-A475;	⿰石斊
HZK07-A476	&I-HZK07-A476;	⿰石衮
HZK07-A477	&I-HZK07-A477;	⿰石脊
HZK07-A478	&I-HZK07-A478;	⿰石离
HZK07-A47C	&I-HZK07-A47C;	⿰石&AJ1-13709;
HZK07-A47D	&I-HZK07-A47D;	⿱𤇾石
HZK07-C945	&I-HZK07-C945;	⿰禾⿱丙攵
HZK07-C946	&I-HZK07-C946;	⿰禾⿱支只
HZK07-C947	&I-HZK07-C947;	⿰禾咸
HZK07-C948	&I-HZK07-C948;	⿰禾𤯚
HZK07-C949	&I-HZK07-C949;	⿰禾&B-ADB6;
HZK07-C94A	&I-HZK07-C94A;	⿰禾耎
HZK07-C94B	&I-HZK07-C94B;	⿰禾皆
HZK07-A4B5	&I-HZK07-A4B5;	⿰石𥥐
HZK07-A4B6	&I-HZK07-A4B6;	⿰石⿸户羽
HZK07-A4B9	&I-HZK07-A4B9;	⿰石&MJ010355;
HZK07-A4BB	&I-HZK07-A4BB;	⿰石⿱厽灬
HZK07-A4BC	&I-HZK07-A4BC;	⿰石剝
HZK07-A4D4	&I-HZK07-A4D4;	⿰石教
HZK07-A4D7	&I-HZK07-A4D7;	⿰石聊
HZK07-A4D9	&I-HZK07-A4D9;	⿰石莫
HZK07-A4F4	&I-HZK07-A4F4;	⿱&CDP-8D60;石
HZK07-A4F5	&I-HZK07-A4F5;	⿰石斬
HZK07-A4F7	&I-HZK07-A4F7;	⿰石&AJ1-14097;
HZK07-A4F8	&I-HZK07-A4F8;	⿰石曹
HZK07-A4F9	&I-HZK07-A4F9;	⿰石堅
HZK07-A4FB	&I-HZK07-A4FB;	⿰石&AJ1-03502;
HZK07-A4FC	&I-HZK07-A4FC;	⿱&JSP-4631;石
HZK07-C959	&I-HZK07-C959;	⿰禾是
HZK07-C95A	&I-HZK07-C95A;	⿰禾則
HZK07-C95B	&I-HZK07-C95B;	⿰禾昜
HZK07-C95C	&I-HZK07-C95C;	⿰禾咠
HZK07-C95D	&I-HZK07-C95D;	⿰禾星
HZK07-C95E	&I-HZK07-C95E;	⿰禾日矢
HZK07-C95F	&I-HZK07-C95F;	⿰禾曷
HZK07-C960	&I-HZK07-C960;	⿰禾胃
HZK07-C961	&I-HZK07-C961;	⿰禾冑
HZK07-C962	&I-HZK07-C962;	⿰禾田儿厶
HZK07-A540	&I-HZK07-A540;	⿰石丶生石
HZK07-A555	&I-HZK07-A555;	⿰石虍且
HZK07-A556	&I-HZK07-A556;	⿰石&JX2-773A;
HZK07-A557	&I-HZK07-A557;	⿰石婁
HZK07-A559	&I-HZK07-A559;	⿰石國
HZK07-A55C	&I-HZK07-A55C;	⿰石得
HZK07-A55D	&I-HZK07-A55D;	⿰石從
HZK07-A55E	&I-HZK07-A55E;	⿰石酓
HZK07-A55F	&I-HZK07-A55F;	⿰石祭
HZK07-A560	&I-HZK07-A560;	⿱孰石
HZK07-A575	&I-HZK07-A575;	⿰石康
HZK07-A576	&I-HZK07-A576;	⿰石&B-B3C0;
HZK07-A577	&I-HZK07-A577;	⿰石啇
HZK07-A578	&I-HZK07-A578;	⿰石族
HZK07-A579	&I-HZK07-A579;	⿰石旋
HZK07-A57A	&I-HZK07-A57A;	⿰石𦍌皿
HZK07-A57B	&I-HZK07-A57B;	⿰石⿰火火卂
HZK07-A57D	&I-HZK07-A57D;	⿱隆石
HZK07-A57E	&I-HZK07-A57E;	⿰石&GT-36924;
HZK07-A5B8	&I-HZK07-A5B8;	⿰石巢
HZK07-A5BA	&I-HZK07-A5BA;	⿰石&AJ1-01526;
HZK07-A5BB	&I-HZK07-A5BB;	⿰石彭
HZK07-A5BC	&I-HZK07-A5BC;	⿱彭石
HZK07-A5BD	&I-HZK07-A5BD;	⿰石斯
HZK07-A5BE	&I-HZK07-A5BE;	⿰石龷&CDP-8CAA;
HZK07-A5C0	&I-HZK07-A5C0;	⿲石⿱而而
HZK07-A5D7	&I-HZK07-A5D7;	⿰石厥
HZK07-A5D8	&I-HZK07-A5D8;	⿱厥石
HZK07-A5D9	&I-HZK07-A5D9;	⿰石&CDP-8CF2;
HZK07-A5DA	&I-HZK07-A5DA;	⿰石朁
HZK07-A5DB	&I-HZK07-A5DB;	⿲石&CDP-8DF6;止
HZK07-A5DC	&I-HZK07-A5DC;	⿰石虛
HZK07-A5DD	&I-HZK07-A5DD;	⿰石掌
HZK07-A5DE	&I-HZK07-A5DE;	⿰石&MJ013505;
HZK07-C963	&I-HZK07-C963;	⿰禾&AJ1-04376;
HZK07-C964	&I-HZK07-C964;	⿰禾耑
HZK07-C965	&I-HZK07-C965;	⿰禾幽
HZK07-C966	&I-HZK07-C966;	⿰禾臿
HZK07-C967	&I-HZK07-C967;	⿰禾&B-ADBB;
HZK07-C968	&I-HZK07-C968;	⿰禾&U-i001+2068F;
HZK07-C979	&I-HZK07-C979;	⿰禾复
HZK07-C97A	&I-HZK07-C97A;	⿰禾皇
HZK07-C97B	&I-HZK07-C97B;	⿰皇禾
HZK07-C97C	&I-HZK07-C97C;	⿰禾白&CDP-8B5F;&CDP-89A6;
HZK07-C97D	&I-HZK07-C97D;	⿰禾即
HZK07-C97E	&I-HZK07-C97E;	⿰禾⺤丨日
HZK07-C9A1	&I-HZK07-C9A1;	𠆢&MJ024197;⺄禾
HZK07-C9A2	&HZK07-C9A2;	⿰禾㒸
HZK07-A5E0	&I-HZK07-A5E0;	⿰石無
HZK07-A5E1	&I-HZK07-A5E1;	⿰石毳
HZK07-A5E3	&I-HZK07-A5E3;	⿰石舄
HZK07-A5E6	&I-HZK07-A5E6;	⿰石&CDP-87FC;
HZK07-A5E7	&I-HZK07-A5E7;	⿰石欽
HZK07-A5E8	&I-HZK07-A5E8;	⿰石奠
HZK07-A5F8	&I-HZK07-A5F8;	⿰番石
HZK07-A5FA	&I-HZK07-A5FA;	⿱敦石
HZK07-A5FB	&I-HZK07-A5FB;	⿰石童
HZK07-A5FC	&I-HZK07-A5FC;	⿰石善
HZK07-A640	&I-HZK07-A640;	⿰石勞
HZK07-A641	&I-HZK07-A641;	⺡剌石
HZK07-A642	&I-HZK07-A642;	⿰石&B-B6A1;
HZK07-A658	&I-HZK07-A658;	⿰石厽𠆢&AJ1-13852;
HZK07-A659	&I-HZK07-A659;	乡&AJ1-05786;阝石
HZK07-A65B	&I-HZK07-A65B;	⿱&B-B9AA;石
HZK07-A65C	&I-HZK07-A65C;	壴&MJ014908;石
HZK07-A65D	&I-HZK07-A65D;	⿰石&AJ1-13912;
HZK07-A65E	&I-HZK07-A65E;	⿰石戡
HZK07-A65F	&I-HZK07-A65F;	⿰石著
HZK07-A660	&I-HZK07-A660;	⿰石蓋
HZK07-A661	&I-HZK07-A661;	⿰石葛
HZK07-A663	&I-HZK07-A663;	⿰石&AJ1-01744;
HZK07-A665	&I-HZK07-A665;	⿱&CDP-8CF6;石
