;; -*- coding: utf-8-mcs-er -*-
HZK08-C940	&HZK08-C940;	⿱⺮&HZK10-F4BA;
HZK08-C942	&HZK08-C942;	⿱⺮截
HZK08-C943	&HZK08-C943;	⿱⺮摠
HZK08-C944	&HZK08-C944;	⿱⺮&C1-6E27;
HZK08-A455	&HZK08-A455;	⿰虫⿱口内
HZK08-A456	&HZK08-A456;	⿰虫&GT-09964;
HZK08-A457	&HZK08-A457;	⿰虫⿱⿴囗㐅儿
HZK08-A458	&HZK08-A458;	⿰虫&HZK02-E5A3;
HZK08-A459	&HZK08-A459;	⿰虫告
HZK08-A45B	&HZK08-A45B;	⿱我虫
HZK08-A45D	&HZK08-A45D;	⿱利虫
HZK08-A45E	&HZK08-A45E;	⿰虫秀
HZK08-A460	&HZK08-A460;	⿰虫每
HZK08-A461	&HZK08-A461;	⿱攸虫
HZK08-A462	&HZK08-A462;	⿰虫囱
HZK08-A464	&HZK08-A464;	⿰虫希
HZK08-A465	&HZK08-A465;	⿰仌⿸厂⿱丿虫
HZK08-A475	&HZK08-A475;	⿰虫谷
HZK08-A478	&HZK08-A478;	⿰虫豸
HZK08-A479	&HZK08-A479;	⿰虫&GT-04213;
HZK08-A47A	&HZK08-A47A;	⿰虫甸
HZK08-A47C	&HZK08-A47C;	⿳&GT-00375;北虫
HZK08-A47D	&HZK08-A47D;	⿰虫&UU+342C;
HZK08-C946	&HZK08-C946;	⿱⺮&C1-6A4D;
HZK08-C947	&HZK08-C947;	⿱⺮&M-09051;
HZK08-C948	&HZK08-C948;	⿱⺮&C4-466C;
HZK08-A4B7	&HZK08-A4B7;	⿰虫弟
HZK08-A4B8	&HZK08-A4B8;	⿱&GT-21980;虫
HZK08-A4BB	&HZK08-A4BB;	⿹⺄⿰虫虫
HZK08-A4BD	&HZK08-A4BD;	⿰虫奉
HZK08-A4D7	&HZK08-A4D7;	⿳⿰天天虫
HZK08-A4D8	&HZK08-A4D8;	⿰虫&B-AAF8;
HZK08-A4D9	&HZK08-A4D9;	⿰虫⿰⺘&CDP-8C55;
HZK08-A4DA	&HZK08-A4DA;	⿰虫&C2-257D;
HZK08-A4DB	&HZK08-A4DB;	⿰虫&JX1-2F67;
HZK08-A4DE	&HZK08-A4DE;	⿱其虫
HZK08-A4DF	&HZK08-A4DF;	⿰虫&G0-4821;
HZK08-A4E1	&HZK08-A4E1;	⿱枝虫
HZK08-A4E2	&HZK08-A4E2;	⿰蚞片
HZK08-A4E3	&HZK08-A4E3;	⿱㭊虫
HZK08-A4F9	&HZK08-A4F9;	⿱&M-14516;虫
HZK08-A4FC	&HZK08-A4FC;	⿱或虫
HZK08-A4FD	&HZK08-A4FD;	⿱⿰臣&GT-K00068;虫
HZK08-C95C	&HZK08-C95C;	⿱⺮&M-15317;
HZK08-C95D	&HZK08-C95D;	⿱⺮⿰木&B-B0AC;
HZK08-C95E	&HZK08-C95E;	⿱⺮爾
HZK08-C95F	&HZK08-C95F;	⿱⺮榴
HZK08-C960	&HZK08-C960;	⿱⺮匱
HZK08-C962	&HZK08-C962;	⿱⺮⿰&CDP-8ABA;⿹勹手
HZK08-A540	&HZK08-A540;	⿱刺虫
HZK08-A541	&HZK08-A541;	⿰虫&C1-4C25;
HZK08-A542	&HZK08-A542;	⿰虫奇
HZK08-A543	&HZK08-A543;	⿰虫奄
HZK08-A558	&HZK08-A558;	⿰𤆍⿱丿虫
HZK08-A559	&HZK08-A559;	⿰虫刾
HZK08-A55A	&HZK08-A55A;	⿱⻗虫
HZK08-A55C	&HZK08-A55C;	⿰虫戔
HZK08-A55D	&HZK08-A55D;	⿳⿰旡旡虫
HZK08-A55E	&HZK08-A55E;	⿰虫到
HZK08-A560	&HZK08-A560;	⿰虫&CB08839;
HZK08-A561	&HZK08-A561;	⿰虫⿸&GT-44176;人
HZK08-A562	&HZK08-A562;	⿰虫&G0-3B22;
HZK08-A563	&HZK08-A563;	⿰虫&CDP-8CAA;
HZK08-A564	&HZK08-A564;	⿳目大虫
HZK08-A579	&HZK08-A579;	⿰虫昆
HZK08-A57A	&HZK08-A57A;	⿰虫国
HZK08-A57B	&HZK08-A57B;	⿰虫昌
HZK08-A57D	&HZK08-A57D;	⿰虫炅
HZK08-A57E	&HZK08-A57E;	⿳⿰虫虫丁
HZK08-A5A1	&HZK08-A5A1;	⿰虫典
HZK08-A5A2	&HZK08-A5A2;	⿰虫&CDP-8A59;
HZK08-A5A3	&HZK08-A5A3;	⿰虫&JX3-3276;
HZK08-A5A5	&HZK08-A5A5;	⿰虫沓
HZK08-A5A6	&HZK08-A5A6;	⿰虫罔
HZK08-A5BA	&HZK08-A5BA;	⿰虫&CDP-88EB;
HZK08-A5BB	&HZK08-A5BB;	⿱𥝢虫
HZK08-A5BD	&HZK08-A5BD;	⿰虫&CDP-8CCD;
HZK08-A5C0	&HZK08-A5C0;	⿱&GT-25452;虫
HZK08-A5C3	&HZK08-A5C3;	⿱卑虫
HZK08-A5DA	&HZK08-A5DA;	⿰虫&B-AAFA;
HZK08-A5DB	&HZK08-A5DB;	⿱&B-AAFA;虫
HZK08-A5DC	&HZK08-A5DC;	⿰虫舍
