;; -*- coding: utf-8-mcs-er -*-
HZK09-A441	&I-HZK09-A441;	⿰草厄
HZK09-A442	&I-HZK09-A442;	⿱⺿⿰目句
HZK09-A443	&I-HZK09-A443;	⿱⺿晃
HZK09-A444	&I-HZK09-A444;	⿳艸日艸
HZK09-A445	&HZK09-A445;	⿱⺿⿱日&GT-36832;
HZK09-A446	&I-HZK09-A446;	⿳⺿&CDP-8C48;田
HZK09-A447	&I-HZK09-A447;	⿳⺿口&B-A8BD;
HZK09-A448	&I-HZK09-A448;	⿱⺿員
HZK09-A449	&I-HZK09-A449;	⿱⺿恩
HZK09-C940	&I-HZK09-C940;	⿰&GT-35079;⿱尼木
HZK09-C942	&HZK09-C942;	⿰纟⿱民日
HZK09-C943	&HZK09-C943;	⿰&GT-35079;&CDP-86C6;囗&CDP-89D5;
HZK09-A458	&I-HZK09-A458;	⿱⺿圂
HZK09-A459	&HZK09-A459;	⿱⺿豈
HZK09-A45A	&I-HZK09-A45A;	⿱⺿&CDP-8CEF;攵
HZK09-A45B	&HZK09-A45B;	⿱⺿&M-49364;
HZK09-A45C	&I-HZK09-A45C;	⿱⺿&GT-36329;𠃌日
HZK09-A45D	&I-HZK09-A45D;	⿱⺿𥁕
HZK09-A45F	&I-HZK09-A45F;	⿱⺿⿰&CDP-88DA;氏
HZK09-A460	&I-HZK09-A460;	⿱⺿郵
HZK09-A461	&I-HZK09-A461;	⿱⺿⿰禾占
HZK09-A463	&HZK09-A463;	⿱⺿秝
HZK09-A465	&I-HZK09-A465;	⿱⺿叟
HZK09-A466	&I-HZK09-A466;	⿳⺿臼心
HZK09-A467	&I-HZK09-A467;	⿱⺿俶
HZK09-A47A	&HZK09-A47A;	⿱⺿倭
HZK09-A47B	&I-HZK09-A47B;	⿱⺿倗
HZK09-A4A1	&HZK09-A4A1;	⿱⺿皋
HZK09-A4A2	&I-HZK09-A4A2;	⿳⺿甶&C1-4552;
HZK09-A4A3	&I-HZK09-A4A3;	⿱⺿師
HZK09-A4A6	&I-HZK09-A4A6;	⿱⺿徐
HZK09-A4BA	&HZK09-A4BA;	⿳⺿⺤&GT-35079;
HZK09-A4BE	&HZK09-A4BE;	⿳⺿&CDP-8BFA;斤
HZK09-A4C1	&I-HZK09-A4C1;	⿱⺿&CDP-88A6;
HZK09-A4C2	&I-HZK09-A4C2;	⿱⺿&GT-07480;
HZK09-A4C5	&I-HZK09-A4C5;	⿱⺿⿹勹幸
HZK09-A4DA	&HZK09-A4DA;	⿱⺿烏
HZK09-A4DB	&I-HZK09-A4DB;	⿱⺿⿹勹小⿹勹小
HZK09-A4DC	&I-HZK09-A4DC;	⿱⺿&UU+771E;
HZK09-A4DD	&I-HZK09-A4DD;	⿱⺾⿰⻥刂
HZK09-A4DF	&HZK09-A4DF;	⿱⺿狸
HZK09-A4E0	&I-HZK09-A4E0;	⿱⺿狼
HZK09-A4E2	&I-HZK09-A4E2;	⿱⺿桀
HZK09-A4E3	&HZK09-A4E3;	⿱⺿&M-28120;
HZK09-A4E4	&I-HZK09-A4E4;	⿱⺿留
HZK09-A4E5	&I-HZK09-A4E5;	⿱⺿芻
HZK09-A4E6	&HZK09-A4E6;	⿱⺿記
HZK09-A4FC	&HZK09-A4FC;	⿱⺿&CDP-8D4F;
HZK09-A4FD	&HZK09-A4FD;	⿱⺿&GT-38115;
HZK09-C960	&HZK09-C960;	⿰&GT-35079;盈
HZK09-C961	&I-HZK09-C961;	⿰&GT-35079;枲
HZK09-C962	&HZK09-C962;	⿰&GT-35079;怠
HZK09-A4FE	&I-HZK09-A4FE;	⿱⺿⿴衣&C1-447C;
HZK09-A541	&I-HZK09-A541;	⿱⺿凋
HZK09-A542	&I-HZK09-A542;	⿱⺿剖
HZK09-A543	&I-HZK09-A543;	⿱⺿𤬃
HZK09-A55C	&HZK09-A55C;	⿱⺿⿺⻍&C1-472A;
HZK09-A560	&HZK09-A560;	⿱⺿⿺⻍关
HZK09-A561	&HZK09-A561;	⿱⺿&GT-34640;
HZK09-A564	&I-HZK09-A564;	⿱⺿剡
HZK09-A57B	&HZK09-A57B;	⿱⺿&B-B073;
HZK09-A57C	&I-HZK09-A57C;	⿱⺿&M-17529;
HZK09-A57D	&HZK09-A57D;	⿱⺿娑
HZK09-A57E	&I-HZK09-A57E;	⿱⺿涅
HZK09-A5A1	&I-HZK09-A5A1;	⿱⺿涄
HZK09-A5A2	&I-HZK09-A5A2;	⿱⺿⿰⺡何
HZK09-A5A7	&I-HZK09-A5A7;	⿱⺿⿰⺡&CDP-897C;冖&M-03115;
HZK09-A5A8	&I-HZK09-A5A8;	⿱⺿⿱宀&CDP-8DB7;
HZK09-A5A9	&I-HZK09-A5A9;	⿱⺿⿱宀元女
HZK09-A5AA	&I-HZK09-A5AA;	⿱⺿⿱宀豆
HZK09-A5AB	&HZK09-A5AB;	⿱⺿宮
HZK09-A5BD	&I-HZK09-A5BD;	⿱⺿害
HZK09-A5BF	&HZK09-A5BF;	⿱⺿宰
HZK09-A5DD	&I-HZK09-A5DD;	⿱⺿朗
HZK09-A5DE	&HZK09-A5DE;	⿱⺿⿸户&GT-36832;
HZK09-C963	&HZK09-C963;	⿰&GT-35079;柔
HZK09-C964	&HZK09-C964;	⿱敄&G0-7469;
HZK09-C966	&HZK09-C966;	⿰纟彖
HZK09-C969	&I-HZK09-C969;	⿰素各
HZK09-C96A	&HZK09-C96A;	⿰&GT-35079;匪
HZK09-C9A1	&HZK09-C9A1;	⿲&GT-35079;耳戈
HZK09-C9A2	&HZK09-C9A2;	⿰&GT-35079;&J90-427B;
HZK09-C9A3	&HZK09-C9A3;	⿰&GT-35079;荅
HZK09-C9A4	&I-HZK09-C9A4;	⿰&GT-35079;荀
HZK09-C9A5	&HZK09-C9A5;	⿰&GT-35079;荒
HZK09-C9A6	&HZK09-C9A6;	⿰&GT-35079;&HZK08-EF7C;
HZK09-C9A9	&HZK09-C9A9;	⿰纟晋
HZK09-C9AA	&I-HZK09-C9AA;	⿳&CDP-88D9;冖&G0-7469;
HZK09-A5E2	&I-HZK09-A5E2;	⿱⺿書
HZK09-A5E3	&HZK09-A5E3;	⿳⺿&GT-11133;&M-03115;
HZK09-A5E4	&HZK09-A5E4;	⿱⺿&CDP-86C9;爻
HZK09-A5E5	&HZK09-A5E5;	⿱⺿叞
HZK09-A5E6	&I-HZK09-A5E6;	⿱⺿&M-07709;
HZK09-A5E7	&I-HZK09-A5E7;	⿱⺿⿰弓邑
HZK09-A5E9	&I-HZK09-A5E9;	⿱⺿&B-B3B0;
HZK09-A5EA	&HZK09-A5EA;	⿱⺿&B-B3AE;
HZK09-A5FD	&I-HZK09-A5FD;	⿱⺿&HZK11-AFF1;
HZK09-A640	&HZK09-A640;	⿱⺿&B-B3AD;
HZK09-A642	&HZK09-A642;	⿳⺿氶皿
HZK09-A643	&I-HZK09-A643;	⿱⺿娠
HZK09-A644	&HZK09-A644;	⿱⺿娏
HZK09-A65E	&I-HZK09-A65E;	⿱⺿⿰女助
HZK09-A65F	&I-HZK09-A65F;	⿱茹水
HZK09-A662	&HZK09-A662;	⿱⺿&HZK02-E665;
HZK09-A663	&I-HZK09-A663;	⿳⺿&HZK07-E676;
HZK09-A664	&I-HZK09-A664;	⿱⺾&HZK11-E0B6;
HZK09-A665	&I-HZK09-A665;	⿱⺿㕖
HZK09-A666	&HZK09-A666;	⿱⺿⿰&GT-35079;少
HZK09-A667	&I-HZK09-A667;	⿱⺿&M-27297;
HZK09-A668	&I-HZK09-A668;	⿱⺿&GT-35177;
HZK09-A669	&I-HZK09-A669;	⿱⺿純
HZK09-A66A	&I-HZK09-A66A;	⿱⺿納
HZK09-A66D	&HZK09-A66D;	⿱⺿祥
HZK09-A66E	&I-HZK09-A66E;	⿱⺿捷
HZK09-A67E	&I-HZK09-A67E;	⿱⺿吉瓜
HZK09-A6A2	&I-HZK09-A6A2;	⿱⺿都
HZK09-A6A6	&HZK09-A6A6;	⿱⺿聃
HZK09-A6A7	&I-HZK09-A6A7;	⿱⺿基
HZK09-A6A8	&I-HZK09-A6A8;	⿱⺿&GT-37631;
HZK09-A6AB	&I-HZK09-A6AB;	⿱⺿木𠫔夫
HZK09-A6AC	&HZK09-A6AC;	⿱⺿&M-14866;
HZK09-A6AD	&I-HZK09-A6AD;	⿱⺿桼
HZK09-A6AE	&I-HZK09-A6AE;	⿳⺾&CDP-8A65;回
HZK09-A6C0	&I-HZK09-A6C0;	⿱⺿孛攵
HZK09-A6C1	&I-HZK09-A6C1;	⿱⺿戈&M-03363;
HZK09-A6C4	&I-HZK09-A6C4;	⿳⺿五吾
HZK09-A6C5	&I-HZK09-A6C5;	⿱⺿曹
HZK09-A6C7	&HZK09-A6C7;	⿱⺿&M-38897;
HZK09-A6C8	&I-HZK09-A6C8;	⿱⺿副
HZK09-A6CA	&I-HZK09-A6CA;	⿱⺿堅
HZK09-A6E0	&I-HZK09-A6E0;	⿱⺿&CDP-8DA9;
HZK09-A6E1	&I-HZK09-A6E1;	⿳⺿&B-A8B0;廾
HZK09-A6E2	&HZK09-A6E2;	⿱⺿&GT-38188;
HZK09-A6E3	&I-HZK09-A6E3;	⿱⺿⿴茂臣
HZK09-A6E4	&HZK09-A6E4;	⿱⺿戚
HZK09-A6E5	&I-HZK09-A6E5;	⿱⺿戛
HZK09-A6E6	&I-HZK09-A6E6;	⿳⺿一&GT-01888;一&CDP-8A6D;
HZK09-A6E7	&I-HZK09-A6E7;	⿳⺿一&CDP-8BFD;&GT-01888;土
HZK09-A6E8	&HZK09-A6E8;	⿱⺿𡙁
HZK09-A6E9	&I-HZK09-A6E9;	⿱⺿⿰歹&M-03363;
HZK09-C9AB	&HZK09-C9AB;	⿰&GT-35079;索
HZK09-C9AC	&I-HZK09-C9AC;	⿰索各
HZK09-C9AE	&HZK09-C9AE;	⿰纟尃
