<;; -*- coding: utf-8-mcs-er -*-
HZK11-A440	&HZK11-A440;	⿱⻗敫
HZK11-A442	&HZK11-A442;	⿱⻗僉
HZK11-A443	&HZK11-A443;	⿱⻗會
HZK11-A444	&HZK11-A444;	⿱⻗⿳&GT-00458;&GT-39640;&CDP-88E5;
HZK11-A445	&HZK11-A445;	⿱⻗&M-09436;
HZK11-A446	&HZK11-A446;	⿰&B-AB42;&GT-49231;
HZK11-A447	&HZK11-A447;	⿱⻗&GT-49231;
HZK11-A448	&HZK11-A448;	⿱⻗𥪖
HZK11-A449	&HZK11-A449;	⿱⻗&B-B96C;
HZK11-A44A	&HZK11-A44A;	⿱⻗溥
HZK11-A44B	&HZK11-A44B;	⿱⻗⿰⺡&B-B0A6;
HZK11-A44C	&HZK11-A44C;	⿱⻗&CB08893;
HZK11-A44D	&HZK11-A44D;	⿱⻗溜
HZK11-A45E	&HZK11-A45E;	⿱⻗滂
HZK11-A461	&HZK11-A461;	⿰&B-B6B3;氣
HZK11-A462	&HZK11-A462;	⿱⻗墊
HZK11-A463	&HZK11-A463;	⿱⻗蒙
HZK11-A464	&HZK11-A464;	⿱⻗&CDP-8DDD;囗缶
HZK11-A465	&HZK11-A465;	⿱⻗&B-BBC4;
HZK11-A466	&HZK11-A466;	⿱⻗⿸𠩵心
HZK11-A467	&HZK11-A467;	⿰&B-BBDD;兔
HZK11-A468	&HZK11-A468;	⿱⻗對
HZK11-A469	&HZK11-A469;	⿱⻗&C2-4E2E;
HZK11-A47E	&HZK11-A47E;	⿳&B-AB42;⿰田田日
HZK11-C945	&HZK11-C945;	⿰钅&GT-31700;
HZK11-C946	&HZK11-C946;	⿰&B-AAF7;&GT-38188;
HZK11-C948	&HZK11-C948;	⿰&B-AAF7;盔
HZK11-C949	&HZK11-C949;	⿰&B-AAF7;&CDP-88BC;匆
HZK11-C94C	&HZK11-C94C;	⿰&B-AAF7;&GT-16787;
HZK11-A4A1	&HZK11-A4A1;	⿱&B-EEFA;卌
HZK11-A4A2	&HZK11-A4A2;	⿱&B-EEFA;田
HZK11-A4A3	&HZK11-A4A3;	⿱&B-EEFA;𠕁
HZK11-A4A4	&HZK11-A4A4;	⿱&B-EEFA;囗㐅
HZK11-A4A5	&HZK11-A4A5;	⿱&B-EEFA;令
HZK11-A4A7	&HZK11-A4A7;	⿺&GT-01781;&B-BBDD;
HZK11-A4A9	&HZK11-A4A9;	⿱⻗漫
HZK11-A4AA	&HZK11-A4AA;	⿰&B-B6B3;曹
HZK11-A4AC	&HZK11-A4AC;	⿱⻗⿰⿱林&CDP-897C;攵
HZK11-A4C0	&HZK11-A4C0;	⿱⻗畾
HZK11-A4C1	&HZK11-A4C1;	⿱⻗澍
HZK11-A4C2	&HZK11-A4C2;	⿱⻗&GT-23355;
HZK11-A4C3	&HZK11-A4C3;	⿱⻗潭
HZK11-A4C4	&HZK11-A4C4;	⿱⻗&B-C047;
HZK11-A4C5	&HZK11-A4C5;	⿱⻗&CDP-88D3;&CDP-8C4E;田&CDP-87FE;
HZK11-A4C6	&HZK11-A4C6;	⿰&B-B6B3;&B-B64F;
HZK11-A4C7	&HZK11-A4C7;	⿱⻗林月攴
HZK11-A4C9	&HZK11-A4C9;	⿱⻗&GT-44178;林
HZK11-A4CA	&HZK11-A4CA;	⿱⻗器
HZK11-A4E0	&HZK11-A4E0;	⿱⻗&B-B6C1;勿
HZK11-C94E	&HZK11-C94E;	⿰钅堂
HZK11-C94F	&HZK11-C94F;	⿰&B-AAF7;常
HZK11-A542	&HZK11-A542;	⿱⻗&M-18450;
HZK11-A543	&HZK11-A543;	⿱⻗澰
HZK11-A544	&HZK11-A544;	⿱⻗&B-C1F4;
HZK11-A545	&HZK11-A545;	⿱⻗厶&B-A8A9;&CDP-89EE;
HZK11-A547	&HZK11-A547;	⿱⻗&B-ADB2;奇
HZK11-A548	&HZK11-A548;	⿱&B-EEFA;囷
HZK11-A549	&HZK11-A549;	⿱&B-EEFA;&M-17306;
HZK11-A54A	&HZK11-A54A;	⿱⻗&B-EF44;
HZK11-A54B	&HZK11-A54B;	⿱⻗&B-C241;
HZK11-A54C	&HZK11-A54C;	⿱⻗&GT-46582;
HZK11-A54D	&HZK11-A54D;	⿱⻗濯
HZK11-A54E	&HZK11-A54E;	⿱⻗⺖&M-05802;
HZK11-A54F	&HZK11-A54F;	⿱⻗⿱&GT-37307;⿰&GT-37307;&GT-37307;
HZK11-A561	&HZK11-A561;	⿱⻗&B-C2D7;
HZK11-A562	&HZK11-A562;	⿳&B-AB42;⿰界界
HZK11-A563	&HZK11-A563;	⿱&B-EEFA;&B-ADB5;
HZK11-A564	&HZK11-A564;	⿱⻗&CDP-8AA3;&CDP-8BC0;㐅&B-A8B0;
HZK11-A565	&HZK11-A565;	⿱⻗儵
HZK11-A566	&HZK11-A566;	⿱⻗&B-C2F9;
HZK11-A568	&HZK11-A568;	⿱⻗&GT-08869;王&CDP-88C2;&B-A8A9;
HZK11-A569	&HZK11-A569;	⿳&B-AB42;⿰&B-B0A6;&B-B0A6;
HZK11-A56A	&HZK11-A56A;	⿱⿱⻗⿰&B-AB42;&B-AB42;包
HZK11-A56B	&HZK11-A56B;	⿳&B-EEFA;大⿰口口土
HZK11-A56C	&HZK11-A56C;	⿱⻗&CDP-8BAA;回子邑
HZK11-A56D	&HZK11-A56D;	⿱⻗&M-18741;
HZK11-A56E	&HZK11-A56E;	⿱⻗纖
HZK11-A56F	&HZK11-A56F;	⿱⻗衢
HZK11-A570	&HZK11-A570;	⿱⻗&CDP-8BAA;回凵口丨邑
HZK11-A571	&HZK11-A571;	⿱&B-B6B3;⿰&B-B6B3;&B-B6B3;
HZK11-A572	&HZK11-A572;	⿱⻗&GT-25355;云&GT-25355;火&B-B0AC;火
HZK11-A573	&HZK11-A573;	⿱&B-B970;⿰&B-B970;&B-B970;
HZK11-A574	&HZK11-A574;	⿳&B-AB42;⿰田田⿰回回⿰田田
HZK11-A575	&HZK11-A575;	⿱⿰&B-B6B3;&B-B6B3;⿰&B-B6B3;&B-B6B3;
HZK11-A576	&HZK11-A576;	⿱⿰&B-B970;&B-B970;⿰&B-B970;&B-B970;
HZK11-A5A6	&HZK11-A5A6;	⿱大非
HZK11-A5C3	&HZK11-A5C3;	⿱非巾
HZK11-A5C4	&HZK11-A5C4;	⿸广非
HZK11-A5C5	&HZK11-A5C5;	⿱非己
HZK11-A5C6	&HZK11-A5C6;	⿱非子
HZK11-A5C7	&HZK11-A5C7;	⿱&GT-07370;非
HZK11-A5C8	&HZK11-A5C8;	⿱非帀
HZK11-A5C9	&HZK11-A5C9;	⿱非手
HZK11-A5CA	&HZK11-A5CA;	⿱非毛
HZK11-A5CB	&HZK11-A5CB;	⿱非&GT-02420;
HZK11-A5CC	&HZK11-A5CC;	⿱非火
HZK11-A5CD	&HZK11-A5CD;	⿱非巴
HZK11-A5CE	&HZK11-A5CE;	⿱非古
HZK11-A5CF	&HZK11-A5CF;	⿱本非
HZK11-A5D0	&HZK11-A5D0;	⿱吞非
HZK11-A5D1	&HZK11-A5D1;	⿱非束
HZK11-A5D2	&HZK11-A5D2;	⿱非&B-A8A9;
HZK11-C965	&HZK11-C965;	⿰钅&GT-18098;
HZK11-C968	&HZK11-C968;	⿰&B-AAF7;⿰口口凵干
HZK11-C969	&HZK11-C969;	⿰&B-AAF7;患
HZK11-C96B	&HZK11-C96B;	⿰&B-AAF7;崩
HZK11-C96C	&HZK11-C96C;	⿰钅崩
HZK11-C96D	&HZK11-C96D;	⿰&B-AAF7;梨
HZK11-C96E	&HZK11-C96E;	⿰&B-AAF7;𠂉⿱口口&GT-07201;
HZK11-C96F	&HZK11-C96F;	⿰&B-AAF7;脩
HZK11-C970	&HZK11-C970;	⿲&B-AAF7;亻昜
HZK11-C971	&HZK11-C971;	⿰&B-AAF7;&CDP-8BDD;
HZK11-C973	&HZK11-C973;	⿰&B-AAF7;悉
HZK11-C974	&HZK11-C974;	⿰&B-AAF7;&CDP-8A41;
HZK11-C9A7	&HZK11-C9A7;	⿰&B-AAF7;&CDP-8B5B;田火
HZK11-C9A8	&HZK11-C9A8;	⿰&B-AAF7;&GT-00376;⿱口口干
HZK11-C9A9	&HZK11-C9A9;	⿰&B-AAF7;&GT-24442;
HZK11-A5E3	&HZK11-A5E3;	⿱非告
HZK11-A5E4	&HZK11-A5E4;	⿱非&C1-4A36;
HZK11-A5E5	&HZK11-A5E5;	⿱奜田
HZK11-A5E6	&HZK11-A5E6;	⿳⿰丙丙非
HZK11-A644	&HZK11-A644;	⿱&B-B6A4;非
HZK11-A645	&HZK11-A645;	⿱非&GT-21610;
HZK11-A646	&HZK11-A646;	⿰番非
HZK11-A647	&HZK11-A647;	⿱非番
HZK11-A666	&HZK11-A666;	⿰&GT-00004;&B-AB41;
HZK11-A667	&HZK11-A667;	⿰卜&B-AB41;
HZK11-A668	&HZK11-A668;	⿰九&B-AB41;
HZK11-A66A	&HZK11-A66A;	⿰刁&B-AB41;
HZK11-A66B	&HZK11-A66B;	⿱&B-AB41;乃
HZK11-A66C	&HZK11-A66C;	⿰&M-03115;&B-AB41;
HZK11-A6A6	&HZK11-A6A6;	⿰干&B-AB41;
HZK11-A6A7	&HZK11-A6A7;	⿰于&B-AB41;
HZK11-A6A8	&HZK11-A6A8;	⿰工&B-AB41;
HZK11-A6AA	&HZK11-A6AA;	⿱弋&B-AB41;
