;; -*- coding: utf-8-mcs-er -*-
HZK12-A441	&I-HZK12-A441;	⿺風卑
HZK12-A442	&I-HZK12-A442;	⿺風&GT-25238;
HZK12-A443	&I-HZK12-A443;	⿰&B-AAF7;風
HZK12-A444	&I-HZK12-A444;	⿺風周
HZK12-A445	&I-HZK12-A445;	⿺風忽
HZK12-A446	&I-HZK12-A446;	⿺風京
HZK12-A447	&I-HZK12-A447;	⿰京風
HZK12-A448	&I-HZK12-A448;	⿺風卒
HZK12-A449	&I-HZK12-A449;	⿺風咅
HZK12-A44A	&I-HZK12-A44A;	⿺風炎
HZK12-A44B	&I-HZK12-A44B;	⿺風&G0-6C65;
HZK12-A44C	&I-HZK12-A44C;	⿺風㞑
HZK12-A44D	&I-HZK12-A44D;	⿺風甾
HZK12-A44E	&I-HZK12-A44E;	⿺風𠜊
HZK12-A44F	&I-HZK12-A44F;	⿺風&HD-IB-3B76;
HZK12-A450	&I-HZK12-A450;	⿰&HD-IB-3B76;風
HZK12-A451	&I-HZK12-A451;	⿺風&C3-2D2E;
HZK12-A452	&I-HZK12-A452;	⿺風剌
HZK12-A453	&I-HZK12-A453;	⿺風畐
HZK12-A454	&I-HZK12-A454;	⿺風奓
HZK12-A455	&I-HZK12-A455;	⿺風皆
HZK12-A456	&I-HZK12-A456;	⿰皆風
HZK12-A461	&I-HZK12-A461;	⿰昜風
HZK12-A462	&I-HZK12-A462;	⿺風&GT-37971;
HZK12-A464	&I-HZK12-A464;	⿺&CDP-8A51;思
HZK12-A465	&I-HZK12-A465;	⿺風&GT-32182;
HZK12-A467	&I-HZK12-A467;	⿺&CDP-8A51;叟
HZK12-A468	&I-HZK12-A468;	⿺風皇
HZK12-A469	&I-HZK12-A469;	⿺風泉
HZK12-C949	&I-HZK12-C949;	⿰敕&B-B3BE;
HZK12-C94B	&I-HZK12-C94B;	⿰&B-B3BE;區
HZK12-A4A3	&I-HZK12-A4A3;	⿺風禹
HZK12-A4A4	&I-HZK12-A4A4;	⿺風侯
HZK12-A4A5	&I-HZK12-A4A5;	⿺風𢍄
HZK12-A4A6	&I-HZK12-A4A6;	⿺風俞
HZK12-A4A7	&I-HZK12-A4A7;	⿰風風
HZK12-A4A8	&I-HZK12-A4A8;	⿺風訇
HZK12-A4A9	&I-HZK12-A4A9;	⿰&AJ1-16792;風
HZK12-A4AA	&I-HZK12-A4AA;	⿺風&B-ADB5;
HZK12-A4AB	&I-HZK12-A4AB;	⿺風斿
HZK12-A4AC	&I-HZK12-A4AC;	⿰宣風
HZK12-A4AD	&I-HZK12-A4AD;	⿺風叜
HZK12-A4AE	&I-HZK12-A4AE;	⿺風韋
HZK12-A4AF	&I-HZK12-A4AF;	⿰韋風
HZK12-A4B0	&I-HZK12-A4B0;	⿺風彖
HZK12-A4B1	&I-HZK12-A4B1;	⿺風幽
HZK12-A4B2	&I-HZK12-A4B2;	⿺風&B-B0A8;
HZK12-A4B4	&I-HZK12-A4B4;	⿺風⿱⺿刕
HZK12-A4B5	&I-HZK12-A4B5;	⿺風索
HZK12-A4B6	&I-HZK12-A4B6;	⿺風⿱𤰔曰
HZK12-A4B7	&I-HZK12-A4B7;	⿺風栗
HZK12-A4B8	&I-HZK12-A4B8;	⿺風豈
HZK12-A4C4	&I-HZK12-A4C4;	⿺風氣
HZK12-A4C5	&I-HZK12-A4C5;	⿺風⿱臼方
HZK12-A4C6	&I-HZK12-A4C6;	⿺風射
HZK12-A4C7	&I-HZK12-A4C7;	夕日夕風
HZK12-A4C8	&I-HZK12-A4C8;	⿺風&GT-K07393;
HZK12-A4CB	&I-HZK12-A4CB;	⿺&CDP-8A51;留
HZK12-A4CC	&I-HZK12-A4CC;	⿺風&B-B0AA;
HZK12-A4CD	&I-HZK12-A4CD;	⿺風离
HZK12-A4CE	&I-HZK12-A4CE;	⿺風唐
HZK12-A4CF	&I-HZK12-A4CF;	⿺風宮
HZK12-A4D1	&I-HZK12-A4D1;	⿱&o-UU+6556;風
HZK12-A4D2	&I-HZK12-A4D2;	⿺風專
HZK12-A4D3	&I-HZK12-A4D3;	⿺風曹
HZK12-A4D4	&I-HZK12-A4D4;	⿺風&GT-31700;
HZK12-A4E3	&I-HZK12-A4E3;	⿰&GT-31700;&CDP-8A51;
HZK12-A4E4	&I-HZK12-A4E4;	⿺風畢
HZK12-A4E5	&I-HZK12-A4E5;	⿺風&B-B3BE;
HZK12-A4E6	&I-HZK12-A4E6;	⿱風&B-B3BE;
HZK12-A4E7	&I-HZK12-A4E7;	⿺風旋
HZK12-A4E8	&I-HZK12-A4E8;	⿺風率
HZK12-A4E9	&I-HZK12-A4E9;	⿺風&GT-36650;
HZK12-A4EA	&I-HZK12-A4EA;	⿺風宿
HZK12-A4EB	&I-HZK12-A4EB;	⿺風&B-B6A6;
HZK12-A4EE	&I-HZK12-A4EE;	⿰&C2-3841;風
HZK12-A4EF	&I-HZK12-A4EF;	⿺風&B-B6C0;
HZK12-A4F0	&I-HZK12-A4F0;	⿰&B-B6C0;風
HZK12-A4F1	&I-HZK12-A4F1;	⿺風⿱&CDP-89B6;田
HZK12-C94D	&I-HZK12-C94D;	⿰&GT-31700;&B-B3BE;
HZK12-C94E	&I-HZK12-C94E;	⿰&CDP-8DA9;&B-B3BE;
HZK12-C950	&I-HZK12-C950;	⿱殹&CDP-8A52;
HZK12-C952	&I-HZK12-C952;	⿰&B-B3B8;&B-B3BE;
HZK12-A544	&I-HZK12-A544;	⿺風猋
HZK12-A546	&I-HZK12-A546;	⿰猋&CDP-8A51;
HZK12-A548	&I-HZK12-A548;	⿰&CDP-8CF2;風
HZK12-A549	&I-HZK12-A549;	⿺風棠
HZK12-A54A	&I-HZK12-A54A;	⿰棠風
HZK12-A54B	&I-HZK12-A54B;	⿺風貴
HZK12-A54C	&I-HZK12-A54C;	⿺風單
HZK12-A54D	&I-HZK12-A54D;	⿰徫風
HZK12-A54E	&I-HZK12-A54E;	⿺風焱
HZK12-A54F	&I-HZK12-A54F;	⿺風&CDP-88E4;口
HZK12-A550	&I-HZK12-A550;	羽𠆢&JX2-2C3B;風
HZK12-A551	&I-HZK12-A551;	⿺風登
HZK12-A552	&I-HZK12-A552;	⿰登風
HZK12-A553	&I-HZK12-A553;	⿺風&C2-3E47;
HZK12-A554	&I-HZK12-A554;	⿰矞風
HZK12-A556	&I-HZK12-A556;	⿺風喿
HZK12-A557	&I-HZK12-A557;	⿺風囗𠂭&CDP-8958;
HZK12-A564	&I-HZK12-A564;	⿺風肅
HZK12-A565	&I-HZK12-A565;	壴屮&GT-K00064;風
HZK12-A566	&I-HZK12-A566;	⿺風壽
HZK12-A567	&I-HZK12-A567;	⿺檒虫
HZK12-A568	&I-HZK12-A568;	⿺風⿱⿰口口&CDP-86A8;
HZK12-A569	&I-HZK12-A569;	⿺風⿱&CDP-8D60;元
HZK12-A56A	&I-HZK12-A56A;	⿺風劉
HZK12-A56B	&I-HZK12-A56B;	⿰劉風
HZK12-A56C	&I-HZK12-A56C;	⿰&B-E8F0;風
HZK12-A56D	&I-HZK12-A56D;	⿺風巤
HZK12-A56E	&I-HZK12-A56E;	⿺風歷
HZK12-A56F	&I-HZK12-A56F;	⿺風盧
HZK12-A570	&I-HZK12-A570;	⿺風⿰斤斤&B-AAF7;
HZK12-A571	&I-HZK12-A571;	⿺風&B-C073;
HZK12-A572	&I-HZK12-A572;	⿺風&C1-7533;
HZK12-A574	&I-HZK12-A574;	⿺風蕭
HZK12-A575	&I-HZK12-A575;	⿰燮風
HZK12-A576	&I-HZK12-A576;	⿰聶風
HZK12-A577	&I-HZK12-A577;	&CDP-8B56;囟一火風
HZK12-A578	&I-HZK12-A578;	⿱風⿰風風
HZK12-A579	&I-HZK12-A579;	⿱風⿺風&CDP-89FB;
HZK12-A57A	&I-HZK12-A57A;	⿱⿰風風⿰風風
HZK12-A5A6	&I-HZK12-A5A6;	⿱⿺風&B-B0AD;⿰&M-01477;&M-01477;
HZK12-A5A7	&I-HZK12-A5A7;	⿱&B-F9B0;⿰⿲习习习流
HZK12-A5A8	&I-HZK12-A5A8;	⿰⿱雚⿲&HD-FT-395B;&HD-FT-395B;&HD-FT-395B;風
HZK12-A5C7	&I-HZK12-A5C7;	⿰&B-ADB5;工
HZK12-A5C8	&I-HZK12-A5C8;	⿰&B-ADB5;勺
HZK12-A5C9	&I-HZK12-A5C9;	⿰&B-ADB5;也
HZK12-A5CA	&I-HZK12-A5CA;	⿺元&B-ADB5;
HZK12-A5CB	&I-HZK12-A5CB;	⿰&B-ADB5;帀
HZK12-A5CC	&I-HZK12-A5CC;	⿰&B-ADB5;&GT-27544;
HZK12-A5CD	&I-HZK12-A5CD;	⿰&B-ADB5;斤
HZK12-A5CE	&I-HZK12-A5CE;	⿰&B-ADB5;今
HZK12-A5CF	&I-HZK12-A5CF;	⿰&B-ADB5;&AJ1-14287;
HZK12-A5D0	&I-HZK12-A5D0;	⿰&B-ADB5;包
HZK12-A5D1	&I-HZK12-A5D1;	⿰&B-ADB5;弗
HZK12-C968	&I-HZK12-C968;	⿰常&B-B3BE;
HZK12-C96A	&I-HZK12-C96A;	⿱眽&B-B3BE;
HZK12-C96B	&I-HZK12-C96B;	⿰&B-B3BE;婁
HZK12-C96E	&I-HZK12-C96E;	⿱略&B-B3BE;
HZK12-C96F	&I-HZK12-C96F;	⿰唯&B-B3BE;
HZK12-C971	&I-HZK12-C971;	⿰崔&B-B3BE;
HZK12-C972	&I-HZK12-C972;	⿰崇&B-B3BE;
HZK12-C973	&I-HZK12-C973;	⿰贝贝女&CDP-8A52;
HZK12-C974	&I-HZK12-C974;	⿰梨&B-B3BE;
HZK12-C976	&I-HZK12-C976;	⿱敏&B-B3BE;
HZK12-C977	&I-HZK12-C977;	⿱𠂹一&B-B3BE;
HZK12-C978	&I-HZK12-C978;	⿱&HD-JA-347B;&B-B3BE;
HZK12-C979	&I-HZK12-C979;	⿰&B-B3BE;從
HZK12-C97A	&I-HZK12-C97A;	⿱從&B-B3BE;
HZK12-C97B	&I-HZK12-C97B;	⺤&HD-FT-395B;&B-B3BE;
HZK12-C97C	&I-HZK12-C97C;	⿰&B-D7F5;&B-B3BE;
HZK12-C9AA	&I-HZK12-C9AA;	⿰&B-B3BE;&B-B3BE;
HZK12-A5E6	&I-HZK12-A5E6;	⿰&B-ADB5;出
HZK12-A5E8	&I-HZK12-A5E8;	⿰&B-ADB5;共
HZK12-A5E9	&I-HZK12-A5E9;	⿰&B-ADB5;尗
HZK12-A5EA	&I-HZK12-A5EA;	⿰&B-ADB5;光
HZK12-A5EB	&I-HZK12-A5EB;	⿰&B-ADB5;同
HZK12-A5EC	&I-HZK12-A5EC;	⿱向&B-ADB5;
HZK12-A5ED	&I-HZK12-A5ED;	⿰&B-ADB5;合
HZK12-A5EE	&I-HZK12-A5EE;	⿰&B-ADB5;夅
HZK12-A5EF	&I-HZK12-A5EF;	⿰多&B-ADB5;
HZK12-A5F0	&I-HZK12-A5F0;	⿰&B-ADB5;&MJ006467;
HZK12-A5F1	&I-HZK12-A5F1;	⿰&B-ADB5;巳廾
HZK12-A5F2	&I-HZK12-A5F2;	⿰&B-ADB5;孛
HZK12-A5F3	&I-HZK12-A5F3;	⿰&B-ADB5;束
HZK12-A5F4	&I-HZK12-A5F4;	⿰&B-ADB5;巠
HZK12-A5F5	&I-HZK12-A5F5;	⿰&B-ADB5;含
HZK12-A5F7	&I-HZK12-A5F7;	⿰&B-ADB5;夂火
HZK12-A647	&I-HZK12-A647;	⿰&B-ADB5;&GT-44176;十
HZK12-A648	&I-HZK12-A648;	⿰&B-ADB5;&C3-2755;
HZK12-A649	&I-HZK12-A649;	⿰&B-ADB5;𠆢亥
HZK12-A64A	&I-HZK12-A64A;	⿰&B-ADB5;念
HZK12-A64C	&I-HZK12-A64C;	⿰&B-ADB5;&C3-2D2E;
HZK12-A64E	&I-HZK12-A64E;	⿰亭&B-ADB5;
HZK12-A64F	&I-HZK12-A64F;	⿰&B-ADB5;&B-ADB5;
HZK12-A650	&I-HZK12-A650;	⿰&B-ADB5;十⺿木
HZK12-A651	&I-HZK12-A651;	⿰&B-ADB5;貢
HZK12-A653	&I-HZK12-A653;	⿰&B-ADB5;生母
HZK12-A654	&I-HZK12-A654;	⿰&B-ADB5;芻
HZK12-A667	&I-HZK12-A667;	⿱&CDP-8BE3;&B-ADB5;
HZK12-A668	&I-HZK12-A668;	⿰&B-ADB5;巳言
