;; -*- coding: utf-8-mcs-er -*-
U+F900	豈	⿱山豆
U+F901	更	⿰曰
U+F902	車	車
U+F903	賈	⿰貝
U+F904	滑	⿰水
U+F905	串	⿰丨
U+F906	句	⿰口
U+F907	龜	⿰龜
U+F908	龜	⿰龜
U+F909	契	⿰大
U+F90A	金	⿰金
U+F90B	喇	⿰口
U+F90C	奈	⿰大
U+F90D	懶	⿰心
U+F90E	癩	⿰疒
U+F90F	羅	⿰网
U+F910	蘿	⿰艸
U+F911	螺	⿰虫
U+F912	裸	⿰衣
U+F913	邏	⿰辵
U+F914	樂	⿰木
U+F915	洛	⿰水
U+F916	烙	⿰火
U+F917	珞	⿰玉
U+F918	落	⿰艸
U+F919	酪	⿰酉
U+F91A	駱	⿰馬
U+F91B	亂	⿰乙
U+F91C	卵	⿰卩
U+F91D	欄	⿰木
U+F91E	爛	⿰火
U+F91F	蘭	⿰艸
U+F920	鸞	⿰鳥
U+F921	嵐	⿰山
U+F922	濫	⿰水
U+F923	藍	⿰艸
U+F924	襤	⿰衣
U+F925	拉	⿰手
U+F926	臘	⿰肉
U+F927	蠟	⿰虫
U+F928	廊	⿰广
U+F929	朗	⿰良月
U+F92A	浪	⿰水
U+F92B	狼	⿰犬
U+F92C	郎	⿰邑
U+F92D	來	⿰人
U+F92E	冷	⿰冫
U+F92F	勞	⿰力
U+F930	擄	⿰手
U+F931	櫓	⿰木
U+F932	爐	⿰火
U+F933	盧	⿰皿
U+F934	老	⿰老
U+F935	蘆	⿰艸
U+F936	虜	⿸虍&GT-K01666;
U+F937	路	⿰足
U+F938	露	⿰雨
U+F939	魯	⿰魚
U+F93A	鷺	⿰鳥
U+F93B	碌	⿰石
U+F93C	祿	⿰示
U+F93D	綠	⿰糸
U+F93E	菉	⿰艸
U+F93F	錄	⿰金
U+F940	鹿	⿰鹿
U+F941	論	⿰言
U+F942	壟	⿰土
U+F943	弄	⿰廾
U+F944	籠	⿰竹
U+F945	聾	⿰耳
U+F946	牢	⿰牛
U+F947	磊	⿰石
U+F948	賂	⿰貝
U+F949	雷	⿰雨
U+F94A	壘	⿰土
U+F94B	屢	⿰尸
U+F94C	樓	⿰木
U+F94D	淚	⿰水
U+F94E	漏	⿰水
U+F94F	累	⿰糸
U+F950	縷	⿰糸
U+F951	陋	⿰阜
U+F952	勒	⿰力
U+F953	肋	⿰肉
U+F954	凜	⿰冫
