;; -*- coding: utf-8-mcs-er -*-
U+3400	㐀	⿱卝一
U+3401	㐁	㐁
U+3402	㐂	⿱七⿰七七
U+3403	㐃	㐃
U+3404	㐄	㐄
U+3405	㐅	㐅
U+3406	㐆	㐆
U+3407	㐇	⿱九乙
U+3408	㐈	⿱人乙
U+3409	㐉	⿱丁乙
U+340A	㐊	⿱士乙
U+340B	㐋	⿱土乙
U+340C	㐌	⿱𠂉也
U+340D	㐍	⿱爫乙
U+340E	㐎	⿱文乙
U+340F	㐏	⿱五乙
U+3410	㐐	⿱奴乙
U+3411	㐑	⿱冬乙
U+3412	㐒	⿱召乙
U+3413	㐓	⿱可乙
U+3414	㐔	⿱⿱亠口乙
U+3415	㐕	⿱由乙
U+3416	㐖	⿰吉乚
U+3417	㐗	⿱老乙
U+3418	㐘	⿱米乙
U+3419	㐙	⿱豆乙
U+341A	㐚	⿱吾乙
U+341B	㐛	⿱佑乙
U+341C	㐜	⿰求九
U+341D	㐝	⿱拘乙
U+341E	㐞	⿱其乙
U+341F	㐟	⿱非乙
U+3420	㐠	⿱乳乙
U+3421	㐡	⿺九耎
U+3422	㐢	⿱浮乙
U+3423	㐣	⿸广⿱車乙
U+3424	㐤	⿺九真
U+3425	㐥	⿱鋤乙
U+3426	㐦	⿱舉乙
U+3427	㐧	㐧
U+3428	㐨	⿰予予
U+3429	㐩	⿰井井
U+342A	㐪	㐪
U+342B	㐫	⿱亠凶
U+342C	㐬	⿱𠫓𫶧
U+342D	㐭	⿱亠回
U+342E	㐮	⿳六𠀎&CDP-8B67;
U+342F	㐯	⿱⿱亠吕香
U+3430	㐰	⿰亻口
U+3431	㐱	⿱𠆢彡
U+3432	㐲	⿰亻大
U+3433	㐳	⿰亻兀
U+3434	㐴	⿰亻夕
U+3435	㐵	⿰亻于
U+3436	㐶	⿰亻巳
U+3437	㐷	⿰亻马
U+3438	㐸	⿰亻欠
U+3439	㐹	⿰亻气
U+343A	㐺	⿰亻𠆧
U+343B	㐻	⿰亻内
U+343C	㐼	⿰亻升
U+343D	㐽	⿰亻风
U+343E	㐾	⿰亻元
U+343F	㐿	⿰亻手
U+3440	㑀	⿰亻太
U+3441	㑁	⿰亻出
U+3442	㑂	⿰亻丙
U+3443	㑃	⿰亻幼
U+3444	㑄	⿰亻母
U+3445	㑅	⿰亻⿱𠂉上
U+3446	㑆	⿰亻兄
U+3447	㑇	⿰亻刍
U+3448	㑈	⿰亻东
U+3449	㑉	⿰亻夙
U+344A	㑊	⿰亻亦
U+344B	㑋	⿰亻曲
U+344C	㑌	⿰亻匡
U+344D	㑍	⿰亻耒
U+344E	㑎	⿰亻⿱巛山
U+344F	㑏	⿰亻守
U+3450	㑐	⿰亻尗
U+3451	㑑	⿰亻自
U+3452	㑒	⿱&CDP-8AFC;&CDP-89F4;
U+3453	㑓	⿰亻⿱厶友
U+3454	㑔	⿰亻页
U+3455	㑕	⿰亻岁
U+3456	㑖	⿰亻仲
U+3457	㑗	⿰亻身
U+3458	㑘	⿰亻戒
U+3459	㑙	⿰亻耴
U+345A	㑚	⿰亻那
U+345B	㑛	⿰亻束
U+345C	㑜	⿰亻折
U+345D	㑝	⿰亻弄
U+345E	㑞	⿰亻灷
U+345F	㑟	⿰亻兵
U+3460	㑠	⿰亻⿱⿰刂又土
U+3461	㑡	⿰亻即
U+3462	㑢	⿰亻却
U+3463	㑣	⿰亻林
U+3464	㑤	⿰亻苗
U+3465	㑥	⿰亻易
U+3466	㑦	⿰亻戾
U+3467	㑧	⿰亻季
U+3468	㑨	⿰亻⿱口矢
U+3469	㑩	⿰亻罗
U+346A	㑪	⿰亻斉
U+346B	㑫	⿰亻念
U+346C	㑬	⿰亻姑
U+346D	㑭	⿰亻畀
U+346E	㑮	⿰亻軍
U+346F	㑯	⿰亻頁
U+3470	㑰	⿰亻彖
U+3471	㑱	⿰亻柔
U+3472	㑲	⿰亻南
U+3473	㑳	⿰亻芻
U+3474	㑴	⿰亻&A-U-i001+20B36;
U+3475	㑵	⿰亻疾
U+3476	㑶	⿰亻氣
U+3477	㑷	⿰亻能
U+3478	㑸	⿰亻⿱古可
U+3479	㑹	⿳&CDP-8AFC;由曰
U+347A	㑺	⿰亻隽
U+347B	㑻	⿰亻密
U+347C	㑼	⿰亻略
U+347D	㑽	⿰亻堂
U+347E	㑾	⿰亻䚻
U+347F	㑿	⿰亻巢
U+3480	㒀	⿰亻啇
U+3481	㒁	⿰亻圉
U+3482	㒂	⿰亻著
U+3483	㒃	⿰亻貳
U+3484	㒄	⿰亻然
U+3485	㒅	⿰亻袲
U+3486	㒆	⿰亻翕
U+3487	㒇	⿰亻無
U+3488	㒈	⿰亻敢
U+3489	㒉	⿰亻棠
U+348A	㒊	⿰亻&JSP-457C;
U+348B	㒋	⿰亻斯
U+348C	㒌	⿰亻⿱𤇾几
U+348D	㒍	⿰亻絫
U+348E	㒎	⿰亻⿱夭非
U+348F	㒏	⿰亻寒
U+3490	㒐	⿰亻筍
U+3491	㒑	⿰亻匯
U+3492	㒒	⿰亻業
U+3493	㒓	⿰亻達
U+3494	㒔	⿰亻蜀
U+3495	㒕	⿰亻雍
U+3496	㒖	⿰亻萬
U+3497	㒗	⿰亻䑓
U+3498	㒘	⿰亻竪
U+3499	㒙	⿰亻綿
U+349A	㒚	⿰亻㥯
U+349B	㒛	⿰亻翟
U+349C	㒜	⿰亻與
U+349D	㒝	⿰亻蔑
U+349E	㒞	⿰亻嶲
U+349F	㒟	⿰亻褭
U+34A0	㒠	⿰亻韰
U+34A1	㒡	⿰亻繇
U+34A2	㒢	⿰亻龠
U+34A3	㒣	⿰亻應
U+34A4	㒤	⿰亻聶
U+34A5	㒥	⿰亻豐
U+34A6	㒦	⿰亻壘
U+34A7	㒧	⿰亻離
U+34A8	㒨	⿰亻𠨧
U+34A9	㒩	⿰亻蠡
U+34AA	㒪	⿳𠆢𦣦⿰&GT-K00439;豕
U+34AB	㒫	⿱&CDP-88B9;儿
U+34AC	㒬	⿺元王
U+34AD	㒭	⿰兄兄
U+34AE	㒮	⿺元&MJ024907;
U+34AF	㒯	⿰光華
U+34B0	㒰	⿱入工
U+34B1	㒱	⿰入夕
U+34B2	㒲	⿱入日
U+34B3	㒳	㒳
U+34B4	㒴	⿱入出
U+34B5	㒵	⿱白八
U+34B6	㒶	⿱八白
U+34B7	㒷	⿳𠔿一八
U+34B8	㒸	⿱丷豕
U+34B9	㒹	⿰真真
U+34BA	㒺	⿵冂⿱丷亾
U+34BB	㒻	⿱⺜見
U+34BC	㒼	⿱廿&CDP-8C62;
U+34BD	㒽	⿱⺜卷
U+34BE	㒾	⿱⺜施
U+34BF	㒿	⿱⺜離
U+34C0	㓀	⿱冖卜
U+34C1	㓁	⿱冖儿
U+34C2	㓂	⿱冖⿺元女
U+34C3	㓃	⿱冖託
U+34C4	㓄	⿰參冘
U+34C5	㓅	⿰冫丁
U+34C6	㓆	⿰冫仑
U+34C7	㓇	⿰冫夭
U+34C8	㓈	⿰冫石
U+34C9	㓉	⿰冫舌
U+34CA	㓊	⿰冫同
U+34CB	㓋	⿰冫共
U+34CC	㓌	⿰冫全
U+34CD	㓍	⿰冫充
U+34CE	㓎	⿰冫&CDP-8D4C;
U+34CF	㓏	⿰冫冏
U+34D0	㓐	⿰冫坴
U+34D1	㓑	⿰冫幸
U+34D2	㓒	⿱⿰冫七𠇍
U+34D3	㓓	⿰冫南
U+34D4	㓔	⿰冫射
U+34D5	㓕	⿰冫烕
U+34D6	㓖	⿰冫畢
U+34D7	㓗	⿰冫絜
U+34D8	㓘	⿵夙玉
U+34D9	㓙	⿶凵文
U+34DA	㓚	⿰工刂
U+34DB	㓛	⿰工刀
U+34DC	㓜	⿰幺刀
U+34DD	㓝	⿰井刂
U+34DE	㓞	⿰丰刀
U+34DF	㓟	⿰皮刂
U+34E0	㓠	⿰占刂
U+34E1	㓡	⿰缶刂
U+34E2	㓢	⿰各刂
U+34E3	㓣	⿰合刂
U+34E4	㓤	⿰吉刂
U+34E5	㓥	⿰当刂
U+34E6	㓦	⿰百刂
U+34E7	㓧	⿰含刂
U+34E8	㓨	⿰夾刂
U+34E9	㓩	⿰角刂
U+34EA	㓪	⿰良刂
U+34EB	㓫	⿰⿱大开刂
U+34EC	㓬	⿰券刂
U+34ED	㓭	⿰曷刂
U+34EE	㓮	⿰周刂
U+34EF	㓯	⿰甾刂
U+34F0	㓰	⿰&AJ1-01384;刂
U+34F1	㓱	⿰&C1-4F7E;刂
U+34F2	㓲	⿰扁刂
U+34F3	㓳	⿺是刂
U+34F4	㓴	⿰耎刂
U+34F5	㓵	⿰咢刂
U+34F6	㓶	⿰契刂
U+34F7	㓷	⿰臬刂
U+34F8	㓸	⿰𠁁刂
U+34F9	㓹	⿰⿸厂炎刂
U+34FA	㓺	⿰虔刂
U+34FB	㓻	⿰罡刂
U+34FC	㓼	⿰桼刂
U+34FD	㓽	⿰崇刂
U+34FE	㓾	⿰犀刂
U+34FF	㓿	⿰⿳禾𠆢水刂
U+3500	㔀	⿰景刂
U+3501	㔁	⿰登刂
U+3502	㔂	⿰粦刂
U+3503	㔃	⿱絕刀
U+3504	㔄	⿰粟刂
U+3505	㔅	⿰肅刂
U+3506	㔆	⿰朁刂
U+3507	㔇	⿰發刂
U+3508	㔈	⿰菲刂
U+3509	㔉	⿰属刂
U+350A	㔊	⿰亶刂
U+350B	㔋	⿰監刂
U+350C	㔌	⿰聚刂
U+350D	㔍	⿰算刂
U+350E	㔎	⿱辥刀
U+350F	㔏	⿰磊刂
U+3510	㔐	⿰⿳竹一韭刂
U+3511	㔑	⿱薛刀
U+3512	㔒	⿰巂刂
U+3513	㔓	⿰千力
U+3514	㔔	⿱加&GT-04091;
U+3515	㔕	⿰气力
U+3516	㔖	⿱加㇕
U+3517	㔗	⿰弗力
U+3518	㔘	⿰出力
U+3519	㔙	⿰并力
U+351A	㔚	⿰舌力
U+351B	㔛	⿱吉力
U+351C	㔜	⿰孚力
U+351D	㔝	⿰兩力
U+351E	㔞	⿰乖力
U+351F	㔟	⿱⿰生丸力
U+3520	㔠	⿰曷力
U+3521	㔡	⿰𣬉力
U+3522	㔢	⿱絶力
U+3523	㔣	⿰畾力
U+3524	㔤	⿰審力
U+3525	㔥	⿰罷力
U+3526	㔦	⿰養力
U+3527	㔧	⿰盧力
U+3528	㔨	⿹勹背
U+3529	㔩	⿹勹盍
U+352A	㔪	⿹勹鹵
U+352B	㔫	⿸𠂇匕
U+352C	㔬	⿱匕早
U+352D	㔭	⿰匕是
U+352E	㔮	⿰&CDP-8BD3;能
U+352F	㔯	⿷匚⿱几口
U+3530	㔰	⿷匚外
U+3531	㔱	⿷匚臾
U+3532	㔲	⿷匚⿰⻟九
U+3533	㔳	⿷匚飢
U+3534	㔴	⿷匚異
U+3535	㔵	⿷匚巽
U+3536	㔶	⿷匚贛
U+3537	㔷	⿷匚丙
U+3538	㔸	⿷匚虒
U+3539	㔹	⿰十力
U+353A	㔺	⿱十⿰十十
U+353B	㔻	⿱不十
U+353C	㔼	⿱推十
U+353D	㔽	⿱⺊回
U+353E	㔾	㔾
U+353F	㔿	㔿
U+3540	㕀	⿱由㔾
U+3541	㕁	⿰𠫤卩
U+3542	㕂	⿸厂今
U+3543	㕃	⿸厂开
U+3544	㕄	⿸厂𢆰
U+3545	㕅	⿸厂甲
U+3546	㕆	⿸厂古
U+3547	㕇	⿸厂立
U+3548	㕈	⿸厂衣
U+3549	㕉	⿸厂合
U+354A	㕊	⿸厂甫
U+354B	㕋	⿸厂金
U+354C	㕌	⿸厂㝵
U+354D	㕍	⿸厂隹
U+354E	㕎	⿸厂盍
U+354F	㕏	⿸厂㪷
U+3550	㕐	⿸厂舄
U+3551	㕑	⿸厂尌
U+3552	㕒	⿸厂義
U+3553	㕓	⿸厂墨
U+3554	㕔	⿸厂聽
U+3555	㕕	⿱厶厶
U+3556	㕖	⿱厽木
U+3557	㕗	⿺羑厶
U+3558	㕘	⿱厽尒
U+3559	㕙	⿰夋兔
U+355A	㕚	㕚
U+355B	㕛	⿱又又
U+355C	㕜	⿱中又
U+355D	㕝	⿱古又
U+355E	㕞	⿰𡰯又
U+355F	㕟	⿰⿱⺊𠕁又
U+3560	㕠	⿱准又
U+3561	㕡	⿹𣦻&A-IWDSU+8C37;
U+3562	㕢	⿹𣦻貝
U+3563	㕣	⿱八口
U+3564	㕤	⿰口九
U+3565	㕥	⿰口人
U+3566	㕦	⿱口大
U+3567	㕧	⿰口尸
U+3568	㕨	⿰口凡
U+3569	㕩	⿰口丰
U+356A	㕪	⿰口冘
U+356B	㕫	⿰口方
U+356C	㕬	⿰口公
U+356D	㕭	⿰口夭
U+356E	㕮	⿰口父
U+356F	㕯	⿵内口
U+3570	㕰	⿰口毛
U+3571	㕱	⿰口尤
U+3572	㕲	⿰口木
U+3573	㕳	⿰口凶
U+3574	㕴	⿰口冗
U+3575	㕵	⿰口王
U+3576	㕶	⿰口五
U+3577	㕷	⿰口白
U+3578	㕸	⿰口立
U+3579	㕹	⿰口犮
U+357A	㕺	⿱吅丂
U+357B	㕻	⿱丶否
U+357C	㕼	⿰口匈
U+357D	㕽	⿰口以
U+357E	㕾	⿱小叱
U+357F	㕿	⿱禾口
U+3580	㖀	⿰口聿
U+3581	㖁	⿰口𠫤
U+3582	㖂	⿰口曳
U+3583	㖃	⿰口后
U+3584	㖄	⿰口州
U+3585	㖅	⿰口戌
U+3586	㖆	⿰口曲
U+3587	㖇	⿰口而
U+3588	㖈	⿱老口
U+3589	㖉	⿰口企
U+358A	㖊	⿰口寻
U+358B	㖋	⿱介叱
U+358C	㖌	⿱仇叱
U+358D	㖍	⿱斗叱
U+358E	㖎	⿱叱介
U+358F	㖏	⿰口圼
U+3590	㖐	⿱吅尹
U+3591	㖑	⿰口戒
U+3592	㖒	⿰口弟
U+3593	㖓	⿰口夆
U+3594	㖔	⿰口吞
U+3595	㖕	⿰口辛
U+3596	㖖	⿱辛口
U+3597	㖗	⿰口岑
U+3598	㖘	⿰口辰
U+3599	㖙	⿱加叱
U+359A	㖚	⿱付叱
U+359B	㖛	⿰古叱
U+359C	㖜	⿱&CDP-8BAA;叱
U+359D	㖝	⿱未叱
U+359E	㖞	⿰口呙
