;; -*- coding: utf-8-mcs-er -*-
U-00020000	𠀀	⿱一?
U-00020001	𠀁	⿻一&CDP-88CD;
U-00020002	𠀂	⿱一乙
U-00020003	𠀃	⿱&CDP-8BC0;一
U-00020004	𠀄	⿱乛丄
U-00020005	𠀅	⿻丂丿
U-00020006	𠀆	⿻十丿
U-00020007	𠀇	⿱⿻&CDP-8BC0;一一
U-00020008	𠀈	𠀈
U-00020009	𠀉	⿰一?
U-0002000A	𠀊	𠀊
U-0002000B	𠀋	⿺丈丶
U-0002000C	𠀌	𠀌
U-0002000D	𠀍	𠀍
U-0002000E	𠀎	⿰三⿰丨丨
U-0002000F	𠀏	⿱屯一
U-00020010	𠀐	⿱中一
U-00020011	𠀑	𠀑
U-00020012	𠀒	⿱一兮
U-00020013	𠀓	⿱引一
U-00020014	𠀔	⿳一&GT-00154;人	?
U-00020015	𠀕	⿴互丶
U-00020016	𠀖	⿱龷丶
U-00020017	𠀗	⿱龷丿
U-00020018	𠀘	⿱兀兀
U-00020019	𠀙	⿰⿱一冂⿱一冂
U-0002001A	𠀚	⿱𠫔&CDP-8665;
U-0002001B	𠀛	⿱一𡗚
U-0002001C	𠀜	⿳一&CDP-89BB;一
U-0002001D	𠀝	⿱下上
U-0002001E	𠀞	⿰⿱一𠁡⿱一𠁡
U-0002001F	𠀟	𠀟
U-00020020	𠀠	⿴廿㐅
U-00020021	𠀡	⿱一先
U-00020022	𠀢	⿱一此
U-00020023	𠀣	⿱一⿺⿻几丨⿱七一
U-00020024	𠀤	⿱夶一
U-00020025	𠀥	⿴二旧
U-00020026	𠀦	⿱一州
U-00020027	𠀧	⿺巴三
U-00020028	𠀨	⿰下及
U-00020029	𠀩	⿰⿱兀丂丁
U-0002002A	𠀪	⿱&CDP-8B72;丶
U-0002002B	𠀫	⿱&CDP-8B72;丿
U-0002002C	𠀬	⿴㐁人
U-0002002D	𠀭	⿱釆𠃌
U-0002002E	𠀮	⿳一八龱
U-0002002F	𠀯	⿱一囦
U-00020030	𠀰	⿱不少
U-00020031	𠀱	⿱不父
U-00020032	𠀲	⿰丁多
U-00020033	𠀳	⿱以下
U-00020034	𠀴	⿰出下
U-00020035	𠀵	⿰丁⿱𠀃勿
U-00020036	𠀶	⿺𣎴失
U-00020037	𠀷	⿱𠮛𠕁
U-00020038	𠀸	⿱一⿰⿵冂夂乞
U-00020039	𠀹	⿳一八同
U-0002003A	𠀺	⿱一⿻丨⿵⺇&CDP-8CF0;
U-0002003B	𠀻	⿱元电
U-0002003C	𠀼	⿱𦣻乂
U-0002003D	𠀽	⿰𪩲犮
U-0002003E	𠀾	⿱不会
U-0002003F	𠀿	⿱下吹
U-00020040	𠁀	⿱世代
U-00020041	𠁁	𠁁
U-00020042	𠁂	⿰者丁
U-00020043	𠁃	⿱不束
U-00020044	𠁄	⿰侖下
U-00020045	𠁅	⿸&CDP-88BC;匆
U-00020046	𠁆	⿱不&C1-4E7E;
U-00020047	𠁇	⿰不宜
U-00020048	𠁈	⿱丅⿵⺇⿱平口
U-00020049	𠁉	⿱一凰
U-0002004A	𠁊	𠁊
U-0002004B	𠁋	⿱不東
U-0002004C	𠁌	⿱不耶
U-0002004D	𠁍	⿱不美
U-0002004E	𠁎	⿱&C1-5D59;下
U-0002004F	𠁏	⿱𠮛⿱冖亞
U-00020050	𠁐	⿱𠮛⿵冂亞
U-00020051	𠁑	⿰带下
U-00020052	𠁒	⿱不真
U-00020053	𠁓	⿱不欲
U-00020054	𠁔	⿰並甹
U-00020055	𠁕	⿱&GT-K03592;亞
U-00020056	𠁖	⿱⿰⿱一⿵&CDP-8BC0;丶⿱一⿵&CDP-8BC0;丶⿸厂串
U-00020057	𠁗	⿱⿻十⿰百百大
U-00020058	𠁘	𠁘
U-00020059	𠁙	⿱不詐
U-0002005A	𠁚	⿰下會
U-0002005B	𠁛	⿱不道
U-0002005C	𠁜	⿰並勇
U-0002005D	𠁝	⿰並咸
U-0002005E	𠁞	⿱不會
U-0002005F	𠁟	⿰並兼
U-00020060	𠁠	⿱⿰且且⿰且且
U-00020061	𠁡	𠁡
U-00020062	𠁢	𠁢
U-00020063	𠁣	𠁣
U-00020064	𠁤	⿻口儿
U-00020065	𠁥	⿱⿰入人丨
U-00020066	𠁦	𠁦
U-00020067	𠁧	𠁧
U-00020068	𠁨	⿰⿹&CDP-8974;冫中
U-00020069	𠁩	𠁩
U-0002006A	𠁪	⿰壬中
U-0002006B	𠁫	⿰丩休
U-0002006C	𠁬	⿱卝⿲&CDP-89C8;丨&CDP-86E8;
U-0002006D	𠁭	⿱个⿰个个
U-0002006E	𠁮	⿱⿲人人人&CDP-87C2;
U-0002006F	𠁯	⿰中台
U-00020070	𠁰	𠁰
U-00020071	𠁱	𠁱
U-00020072	𠁲	⿰&CDP-87E2;井
U-00020073	𠁳	⿻山⿰&C1-4464;&C1-4464;
U-00020074	𠁴	𠁴
U-00020075	𠁵	⿰中⿱⿲丨丨&CDP-86C8;八
U-00020076	𠁶	⿰中⿳匕且夊
U-00020077	𠁷	⿰串串
U-00020078	𠁸	⿰串卒
U-00020079	𠁹	⿰中與
U-0002007A	𠁺	⿰串達
U-0002007B	𠁻	⿰串磊
U-0002007C	𠁼	⿱丶⿰丶丶
U-0002007D	𠁽	⿵丿丶
U-0002007E	𠁾	𠁾
U-0002007F	𠁿	⿴&CDP-88BD;丶
U-00020080	𠂀	𠂀
U-00020081	𠂁	⿴&CDP-89C6;丶
U-00020082	𠂂	𠂂
U-00020083	𠂃	⿰求丸
U-00020084	𠂄	⿰丹曷
U-00020085	𠂅	⿱雍丸
U-00020086	𠂆	𠂆
U-00020087	𠂇	𠂇
U-00020088	𠂈	𠂈
U-00020089	𠂉	⿰丿一
U-0002008A	𠂊	⿰丿㇇
U-0002008B	𠂋	⿸𠂆一
U-0002008C	𠂌	⿱丿⿻一亅
U-0002008D	𠂍	𠂍
U-0002008E	𠂎	𠂎
U-0002008F	𠂏	⿵乃⿱一𠃌
U-00020090	𠂐	⿻乃&CDP-8971;
U-00020091	𠂑	⿴&CDP-8D41;丶
U-00020092	𠂒	⿰丿土
U-00020093	𠂓	⿳丿丿厶
U-00020094	𠂔	⿹&CDP-87C2;丿
U-00020095	𠂕	⿱丿夫
U-00020096	𠂖	⿻丯一
U-00020097	𠂗	⿲丿夕&CDP-87CC;
U-00020098	𠂘	⿰𠂆⿷㔾丶
U-00020099	𠂙	⿹&C1-4464;丿
U-0002009A	𠂚	⿱夭丿
U-0002009B	𠂛	⿱丿止
U-0002009C	𠂜	⿱丿&CDP-88B1;
U-0002009D	𠂝	⿱丿中
