;; -*- coding: utf-8-mcs-er -*-
U-00022000	𢀀	⿱巛&CDP-88E5;
U-00022001	𢀁	⿰⿱巛反&AJ1-18056;
U-00022002	𢀂	⿳巛𠔿⿵⺇⺢
U-00022003	𢀃	⿳士⿵⺇車巛
U-00022004	𢀄	⿰⿻凵&C1-4464;邕
U-00022005	𢀅	⿱⿱巛𠔿&GT-00120;
U-00022006	𢀆	⿰⿱巛句炎
U-00022007	𢀇	⿱⿱巛囟⿳北𠆢几
U-00022008	𢀈	⿱⿱巛⿴囗㐅⿱⿲&CDP-8BC5;丨匕冗
U-00022009	𢀉	⿳巛⿻北⿴囗㐅向
U-0002200A	𢀊	⿰巢⿸虍人
U-0002200B	𢀋	⿰巢𧆞
U-0002200C	𢀌	⿰巢巢
U-0002200D	𢀍	⿰景邕
U-0002200E	𢀎	⿱⿱白巛⿰⿱白巛⿱白巛
U-0002200F	𢀏	⿱⿱巛&GT-K11083;⿱𦥔&HD-KS-278790;
U-00022010	𢀐	⿱⿲糸𡿺糸⿱⿲&CDP-8BC5;人匕几
U-00022011	𢀑	𢀑
U-00022012	𢀒	⿱工⺃
U-00022013	𢀓	⿰工?
U-00022014	𢀔	⿱工&CDP-88CD;
U-00022015	𢀕	⿰工𠃌
U-00022016	𢀖	⿱&CDP-89E1;工
U-00022017	𢀗	⿲工亅⺃
U-00022018	𢀘	⿱工&CDP-89AB;
U-00022019	𢀙	⿰工丩
U-0002201A	𢀚	𢀚
U-0002201B	𢀛	⿱工口
U-0002201C	𢀜	⿰工丮
U-0002201D	𢀝	⿱⿱一丷&AJ1-02109;
U-0002201E	𢀞	⿱工&CDP-89CE;
U-0002201F	𢀟	⿱㓜工
U-00022020	𢀠	⿸龵左
U-00022021	𢀡	⿱左左
U-00022022	𢀢	⿱工見
U-00022023	𢀣	⿱巫𠬞
U-00022024	𢀤	⿰工段
U-00022025	𢀥	⿱巨邦
U-00022026	𢀦	⿱巨所
U-00022027	𢀧	⿰巨侖
U-00022028	𢀨	⿱巨郎
U-00022029	𢀩	⿱𠂹⿸丆工
U-0002202A	𢀪	⿱工𮦆
U-0002202B	𢀫	⿰⿱⿱一巛工⿱任几
U-0002202C	𢀬	⿱巨朗
U-0002202D	𢀭	⿱巨朝
U-0002202E	𢀮	⿰稟巨
U-0002202F	𢀯	⿵&CDP-865B;⿱䀠工
U-00022030	𢀰	⿵&CDP-865B;⿱䀠仝
U-00022031	𢀱	⿱巨穌
U-00022032	𢀲	⿱巨賴
U-00022033	𢀳	𢀳
U-00022034	𢀴	⿸⺁巳
U-00022035	𢀵	⿱己己
U-00022036	𢀶	⿰弓己
U-00022037	𢀷	⿱氶巳
U-00022038	𢀸	⿰⺞巳
U-00022039	𢀹	⿰𠂤巳
U-0002203A	𢀺	⿱⿶凵夫巳
U-0002203B	𢀻	⿱&GT-K01769;己
U-0002203C	𢀼	⿱共巴
U-0002203D	𢀽	⿰⿱彡止己
U-0002203E	𢀾	⿱&CDP-8763;巳
U-0002203F	𢀿	⿱丞巴
U-00022040	𢁀	⿱共包
U-00022041	𢁁	⿰豖巳
U-00022042	𢁂	⿱其巳
U-00022043	𢁃	⿱屾⿱𠆢巳
U-00022044	𢁄	⿰⿱&CDP-8BC5;矢巳
