;; -*- coding: utf-8-mcs-er -*-
U-00024000	𤀀	⿰氵粤
U-00024001	𤀁	⿱泉沝
U-00024002	𤀂	⿰氵敬
U-00024003	𤀃	⿰氵⿸虍言
U-00024004	𤀄	⿰氵盟
U-00024005	𤀅	⿰氵⿱𡘜𠮛
U-00024006	𤀆	⿰氵⿱山竝
U-00024007	𤀇	⿰氵䋣
U-00024008	𤀈	⿰氵⿱⿴&CDP-8CC8;𠂭大
U-00024009	𤀉	⿰氵⿱合&CDP-8BDC;
U-0002400A	𤀊	⿰氵貇
U-0002400B	𤀋	⿰氵𡩟
U-0002400C	𤀌	⿰氵畺
U-0002400D	𤀍	⿰氵⿱雨㐱
U-0002400E	𤀎	⿰氵𥇡
U-0002400F	𤀏	⿰氵試
U-00024010	𤀐	⿰氵蒂
U-00024011	𤀑	⿰氵寗
U-00024012	𤀒	⿰氵愈
U-00024013	𤀓	⿰氵䘵
U-00024014	𤀔	⿰氵飲
U-00024015	𤀕	⿰氵塞
U-00024016	𤀖	⿰氵嵬
U-00024017	𤀗	⿲氵先呂
U-00024018	𤀘	⿰氵葻
U-00024019	𤀙	⿰氵嗚
U-0002401A	𤀚	⿰氵⿱⺾⿵门杀
U-0002401B	𤀛	⿲氵尼來
U-0002401C	𤀜	⿰氵晴
U-0002401D	𤀝	⿲氵素阝
U-0002401E	𤀞	⿰氵著
U-0002401F	𤀟	⿰氵⿱兹土
U-00024020	𤀠	⿰氵熙
U-00024021	𤀡	⿰氵⿱𢆉取
U-00024022	𤀢	⿱法空
U-00024023	𤀣	⿰氵暖
U-00024024	𤀤	⿰氵算
U-00024025	𤀥	⿰氵箅
U-00024026	𤀦	⿰氵⿱剌石
U-00024027	𤀧	⿰氵⿱免免
U-00024028	𤀨	⿰氵窬
U-00024029	𤀩	⿱&CDP-8D50;水
U-0002402A	𤀪	⿰氵頗
U-0002402B	𤀫	⿰氵辡
U-0002402C	𤀬	⿰氵⿳米𠀎大
U-0002402D	𤀭	⿰氵⿳吅一貝
U-0002402E	𤀮	⿰氵⿳亠⿰厶厶林
U-0002402F	𤀯	⿰氵⿱魚寸
U-00024030	𤀰	⿰氵暠
U-00024031	𤀱	⿰氵⿺⻌⿱大⺸
U-00024032	𤀲	⿲辛水辛
U-00024033	𤀳	⿰氵聞
U-00024034	𤀴	⿰氵⿹&CDP-8CBB;豕
U-00024035	𤀵	⿰氵⿵門行
U-00024036	𤀶	⿰氵雐
U-00024037	𤀷	⿱津育
U-00024038	𤀸	⿰氵⿱大魚
U-00024039	𤀹	⿰氵𥈠
U-0002403A	𤀺	⿰氵嘉
U-0002403B	𤀻	⿰氵⿱艸罙
U-0002403C	𤀼	⿰氵綠
U-0002403D	𤀽	⿰氵綺
U-0002403E	𤀾	⿰氵⿻丵廾
U-0002403F	𤀿	⿰氵⿱宀爽
U-00024040	𤁀	⿰氵彰
U-00024041	𤁁	⿰氵⿱⿲⿱亠&CDP-88CD;了⿱一⺙牛
U-00024042	𤁂	⿰氵實
U-00024043	𤁃	⿱滿山
U-00024044	𤁄	⿰氵⿸厂⿱田坴
U-00024045	𤁅	⿰氵臺
U-00024046	𤁆	⿰氵⿱⺫哀
U-00024047	𤁇	⿰氵&C1-6A5C;
U-00024048	𤁈	⿰氵𥯀
U-00024049	𤁉	⿰氵𡏳
U-0002404A	𤁊	⿰氵⿱𦭝犮
U-0002404B	𤁋	⿰氵歴
U-0002404C	𤁌	⿰氵⿱&CDP-8D7C;廾
U-0002404D	𤁍	⿰氵⿰⿸尸止⿸尸止
U-0002404E	𤁎	⿰氵⿳覀日&CDP-8A64;
U-0002404F	𤁏	⿰氵耤
U-00024050	𤁐	⿰氵閣
U-00024051	𤁑	⿰氵⿳山日成
U-00024052	𤁒	⿰氵疑
U-00024053	𤁓	⿰氵瑤
U-00024054	𤁔	⿰氵魁
U-00024055	𤁕	⿰氵辣
U-00024056	𤁖	⿰氵裸
U-00024057	𤁗	⿰氵綿
U-00024058	𤁘	⿰氵⿺竜中
U-00024059	𤁙	⿱扒減
U-0002405A	𤁚	⿰氵⿲彳⿱山元⺙
U-0002405B	𤁛	⿲氵者孕
U-0002405C	𤁜	⿰氵⿱&CDP-8DEB;牛
U-0002405D	𤁝	⿰氵閩
U-0002405E	𤁞	⿱滿水
U-0002405F	𤁟	⿰氵⿱士𠷎
U-00024060	𤁠	⿰氵⿺⻌䍃
U-00024061	𤁡	⿰氵撢
U-00024062	𤁢	⿰氵𢧵
U-00024063	𤁣	⿰氵罷
U-00024064	𤁤	⿰氵歎
U-00024065	𤁥	⿰氵輦
U-00024066	𤁦	⿰溓瓦
U-00024067	𤁧	⿰氵齒
U-00024068	𤁨	⿰氵瞍
U-00024069	𤁩	⿰氵質
U-0002406A	𤁪	⿰活頁
U-0002406B	𤁫	⿰氵⿰⿱八允頁
U-0002406C	𤁬	⿰氵蔥
U-0002406D	𤁭	⿰氵⿱或&AJ1-01455;
U-0002406E	𤁮	⿰氵蓲
U-0002406F	𤁯	⿰氵巤
