;; -*- coding: utf-8-mcs-er -*-
U-00026000	𦀀	⿱安糸
U-00026001	𦀁	⿰糸叒
U-00026002	𦀂	⿹𢦏糸
U-00026003	𦀃	⿰糸⿱𰀁巾
U-00026004	𦀄	⿰糸⿴囗兀
U-00026005	𦀅	⿰糸年
U-00026006	𦀆	⿰糸⿱⺈日
U-00026007	𦀇	⿰糸𡉊
U-00026008	𦀈	⿰糸先
U-00026009	𦀉	⿰糸朵
U-0002600A	𦀊	⿰糸夷
U-0002600B	𦀋	⿰糸冰
U-0002600C	𦀌	⿰糸如
U-0002600D	𦀍	⿰糸⿸厂止
U-0002600E	𦀎	⿰糸列
U-0002600F	𦀏	⿰糸收
U-00026010	𦀐	⿰糸庄
U-00026011	𦀑	⿰糸刘
U-00026012	𦀒	⿱⺜紆
U-00026013	𦀓	⿰糸辛
U-00026014	𦀔	⿰糸甹
U-00026015	𦀕	⿰糸邑
U-00026016	𦀖	⿰糸劫
U-00026017	𦀗	⿰糸赤
U-00026018	𦀘	⿰糸坒
U-00026019	𦀙	⿰糸囱
U-0002601A	𦀚	⿰糸&MJ008132;
U-0002601B	𦀛	⿰糸沙
U-0002601C	𦀜	⿰糸壯
U-0002601D	𦀝	⿰糸囧
U-0002601E	𦀞	⿰糸𠄢
U-0002601F	𦀟	⿱沙糸
U-00026020	𦀠	⿰糸㐬
U-00026021	𦀡	⿰糸吾
U-00026022	𦀢	⿰糸𭻾
U-00026023	𦀣	⿱⿰⿱丿幺幺糸
U-00026024	𦀤	⿱旲糸
U-00026025	𦀥	⿳臼一糸
U-00026026	𦀦	⿰糸帋
U-00026027	𦀧	⿱劭糸
U-00026028	𦀨	⿰糸那
U-00026029	𦀩	⿰糸⿰⿻卩丿⿱龴又
U-0002602A	𦀪	⿰糸伯
U-0002602B	𦀫	⿰糸⿸广犬
U-0002602C	𦀬	⿰糸良
U-0002602D	𦀭	⿰糸⿱火口
U-0002602E	𦀮	⿰糸⿱文㐄
U-0002602F	𦀯	⿰糸局
U-00026030	𦀰	⿰糸𡉤
U-00026031	𦀱	⿰&U-i001+96B6;糸
U-00026032	𦀲	⿰糸君
U-00026033	𦀳	⿰糸寿
U-00026034	𦀴	⿰糸&C1-4B41;
U-00026035	𦀵	⿰糸串
U-00026036	𦀶	⿰糸⿴囗夫
U-00026037	𦀷	⿰糸夋
U-00026038	𦀸	⿰糸皃
U-00026039	𦀹	⿰糸村
U-0002603A	𦀺	⿰糸車
U-0002603B	𦀻	⿰糸改
U-0002603C	𦀼	⿰糸⿱山内
U-0002603D	𦀽	⿰糸告
U-0002603E	𦀾	⿰糸床
U-0002603F	𦀿	⿰糸尾
U-00026040	𦁀	⿰糸貝
U-00026041	𦁁	⿰糸忸
U-00026042	𦁂	⿰糸伴
U-00026043	𦁃	⿰糸⿱八田
U-00026044	𦁄	⿰糸辰
U-00026045	𦁅	⿰糸初
U-00026046	𦁆	⿰糸叀
U-00026047	𦁇	⿰糸𫝹
U-00026048	𦁈	⿰糸空
U-00026049	𦁉	⿰糸妾
U-0002604A	𦁊	⿰糸卦
U-0002604B	𦁋	⿹&CDP-88A7;糸
U-0002604C	𦁌	⿰糸侌
U-0002604D	𦁍	⿰糸&CDP-8AC0;
U-0002604E	𦁎	⿰糸昔
U-0002604F	𦁏	⿰糸奄
U-00026050	𦁐	⿰糸屈
U-00026051	𦁑	⿰糸㚔
U-00026052	𦁒	⿵𦉰⿰糸亾
U-00026053	𦁓	⿹戈⿱&GT-K00859;糸
U-00026054	𦁔	⿰糸㤁
U-00026055	𦁕	⿰糸忽
U-00026056	𦁖	⿰糸宙
U-00026057	𦁗	⿰糸歩
U-00026058	𦁘	⿱⿰歹攵糸
U-00026059	𦁙	⿰糸兖
U-0002605A	𦁚	⿰糸&U-i001+386D;
U-0002605B	𦁛	⿰糸𣏋
U-0002605C	𦁜	⿰糸𣏼
U-0002605D	𦁝	⿰李系
U-0002605E	𦁞	⿱⿱心心糸
U-0002605F	𦁟	⿰糸𮝾
U-00026060	𦁠	⿰糸明
U-00026061	𦁡	⿰糸歨
U-00026062	𦁢	⿰糸長
U-00026063	𦁣	⿰糸孤
U-00026064	𦁤	⿰糸念
U-00026065	𦁥	⿰糸⿱一㡀
U-00026066	𦁦	⿰糸店
U-00026067	𦁧	⿰糸孟
U-00026068	𦁨	⿰糸栆
U-00026069	𦁩	⿰糸厓
U-0002606A	𦁪	⿰糸坴
U-0002606B	𦁫	⿱取糸
U-0002606C	𦁬	⿰昔糸
U-0002606D	𦁭	⿰糸⿸虍又
U-0002606E	𦁮	⿰糸⿱勻勻
U-0002606F	𦁯	⿰糸⿱⿹勹㐅⿹勹㐅
U-00026070	𦁰	⿰糸𢍁
U-00026071	𦁱	⿰糸⿱士&CDP-86C7;
U-00026072	𦁲	⿰糸虎
U-00026073	𦁳	⿰糸季
U-00026074	𦁴	⿰糸𦥔
U-00026075	𦁵	⿰糸&AJ1-18448;
U-00026076	𦁶	⿰糸庚
U-00026077	𦁷	⿰紡厷
U-00026078	𦁸	⿰糸命
U-00026079	𦁹	⿰糸&AJ1-03831;
U-0002607A	𦁺	⿰糸門
U-0002607B	𦁻	⿰糸⿱白工
U-0002607C	𦁼	⿰糸枚
U-0002607D	𦁽	⿰糸旺
U-0002607E	𦁾	⿱紅央
U-0002607F	𦁿	⿰糸姑
U-00026080	𦂀	⿰糸度
U-00026081	𦂁	⿰糸㒸
U-00026082	𦂂	⿰糸⿱耂宁
U-00026083	𦂃	⿰糸亭
U-00026084	𦂄	⿰糸皆
U-00026085	𦂅	⿰糸枲
U-00026086	𦂆	⿰糸廻
U-00026087	𦂇	⿰糸䖍
U-00026088	𦂈	⿰糸胄
U-00026089	𦂉	⿰糸臿
U-0002608A	𦂊	⿰糸㚆
U-0002608B	𦂋	⿰糸⿱尼木
U-0002608C	𦂌	⿱封糸
U-0002608D	𦂍	⿰糸若
U-0002608E	𦂎	⿱秋糸
U-0002608F	𦂏	⿰糸秌
U-00026090	𦂐	⿰糸矦
U-00026091	𦂑	⿰糸⿱夕吉
U-00026092	𦂒	⿰糸前
U-00026093	𦂓	⿰糸茀
U-00026094	𦂔	⿰糸勉
U-00026095	𦂕	⿰糸禺
U-00026096	𦂖	⿰糸𢍉
U-00026097	𦂗	⿱削糸
U-00026098	𦂘	⿰糸𭩢
U-00026099	𦂙	⿰糸⿱&CDP-8BFA;土
U-0002609A	𦂚	⿰糸⿱𠂉肖
U-0002609B	𦂛	⿰糸施
U-0002609C	𦂜	⿰糸𠂷
U-0002609D	𦂝	⿰糸𦙃
U-0002609E	𦂞	⿱夕絲
U-0002609F	𦂟	⿱⿰戶冬糸
U-000260A0	𦂠	⿰糸亰
U-000260A1	𦂡	⿰糸羍
U-000260A2	𦂢	⿰糸⿱甶丌
U-000260A3	𦂣	⿰糸幽
U-000260A4	𦂤	⿰糸屏
U-000260A5	𦂥	⿰糸泵
U-000260A6	𦂦	⿰糸客
U-000260A7	𦂧	⿰糸郎
U-000260A8	𦂨	⿰糸⿱宀百
U-000260A9	𦂩	⿰糸建
U-000260AA	𦂪	⿰糸⿱甫力
U-000260AB	𦂫	⿰糸耶
U-000260AC	𦂬	⿰糸⿱⻃比
U-000260AD	𦂭	⿰糸苛
U-000260AE	𦂮	⿰糸&GT-K05805;
U-000260AF	𦂯	⿰糸𫥎
U-000260B0	𦂰	⿰糸&U-i003+6BB5;
U-000260B1	𦂱	⿰糸風
U-000260B2	𦂲	⿰糸⿱一㡀
U-000260B3	𦂳	⿱&CDP-8CC9;糸
U-000260B4	𦂴	⿰糸𡶬
U-000260B5	𦂵	⿰糸⿰彳⿱&GT-39640;&CDP-8961;
U-000260B6	𦂶	⿰糸竒
U-000260B7	𦂷	⿰糸㢴
U-000260B8	𦂸	⿰糸迫
U-000260B9	𦂹	⿰糸飛
U-000260BA	𦂺	⿰糸音
U-000260BB	𦂻	⿰糸律
U-000260BC	𦂼	⿰糸甚
U-000260BD	𦂽	⿰糸突
U-000260BE	𦂾	⿰糸迭
U-000260BF	𦂿	⿰糸勃
U-000260C0	𦃀	⿰糸待
U-000260C1	𦃁	⿰糸卻
U-000260C2	𦃂	⿱⿰𦣞&CDP-8C74;糸
U-000260C3	𦃃	⿱𠂹糸
U-000260C4	𦃄	⿰糸匪
U-000260C5	𦃅	⿰素各
U-000260C6	𦃆	⿰索各
U-000260C7	𦃇	⿰糸&JSP-5A39;
U-000260C8	𦃈	⿰糸叟
U-000260C9	𦃉	⿰糸𡴘
U-000260CA	𦃊	⿰糸栗
U-000260CB	𦃋	⿰糸𣬉
U-000260CC	𦃌	⿰糸&A-U-i001+20B36;
U-000260CD	𦃍	⿰糸𢍍
U-000260CE	𦃎	⿰糸聀
U-000260CF	𦃏	⿰糸殺
U-000260D0	𦃐	⿰糸&AJ1-03320;
U-000260D1	𦃑	⿰糸&C1-5772;
U-000260D2	𦃒	⿰糸祟
U-000260D3	𦃓	⿰糸留
U-000260D4	𦃔	⿰糸鬲
U-000260D5	𦃕	⿰糸㤻
U-000260D6	𦃖	⿰糸剡
U-000260D7	𦃗	⿱朔糸
U-000260D8	𦃘	⿰糸屖
U-000260D9	𦃙	⿳日共糸
U-000260DA	𦃚	⿱⿲仌人仌糸
U-000260DB	𦃛	⿰糸郤
U-000260DC	𦃜	⿰糸&C1-5821;
U-000260DD	𦃝	⿰糸䒺
U-000260DE	𦃞	⿰糸恖
U-000260DF	𦃟	⿱⺤絲
U-000260E0	𦃠	⿰糸⿱𠀐田
U-000260E1	𦃡	⿰糸⿱夂糸
U-000260E2	𦃢	⿸厂緊
U-000260E3	𦃣	⿰糸𠳮
U-000260E4	𦃤	⿱務糸
U-000260E5	𦃥	⿰糸⿱匋𫶧
U-000260E6	𦃦	⿳&CDP-88D9;冖糸
U-000260E7	𦃧	⿰糸⿱白石
U-000260E8	𦃨	⿰糸⿱臼木
U-000260E9	𦃩	⿰糸畟
U-000260EA	𦃪	⿰糸⿱𠀎冉
U-000260EB	𦃫	⿰糸⿱⿹勹母𫶧
U-000260EC	𦃬	⿰糸脩
U-000260ED	𦃭	⿰糸島
U-000260EE	𦃮	⿰糸荄
U-000260EF	𦃯	⿰糸⿰田皮
U-000260F0	𦃰	⿰糸⿱⺫电
U-000260F1	𦃱	⿰糸⿱夭羊
U-000260F2	𦃲	⿰糸家
U-000260F3	𦃳	⿰糸恋
U-000260F4	𦃴	⿰糸⿱民田
U-000260F5	𦃵	⿰糸恐
U-000260F6	𦃶	⿰糸⿷匸隹
U-000260F7	𦃷	⿰糸⿷匸⿱日升
U-000260F8	𦃸	⿰糸耿
U-000260F9	𦃹	⿰糸倉
U-000260FA	𦃺	⿰糸候
U-000260FB	𦃻	⿰糸晁
U-000260FC	𦃼	⿰糸冥
U-000260FD	𦃽	⿰糸邕
U-000260FE	𦃾	⿰糸烈
U-000260FF	𦃿	⿰糸罢
U-00026100	𦄀	⿰糸馬
U-00026101	𦄁	⿰糸退
U-00026102	𦄂	⿰糸帶
U-00026103	𦄃	⿰糸哲
U-00026104	𦄄	⿰糸郡
U-00026105	𦄅	⿰糸烕
U-00026106	𦄆	⿰糸埋
U-00026107	𦄇	⿰糸涅
U-00026108	𦄈	⿰糸釗
U-00026109	𦄉	⿱戚糸
U-0002610A	𦄊	⿱⿰&GT-16595;口糸
U-0002610B	𦄋	⿰糸鳥
U-0002610C	𦄌	⿰糸埶
U-0002610D	𦄍	⿰糸爽
U-0002610E	𦄎	⿰糸㝡
U-0002610F	𦄏	⿰糸梢
U-00026110	𦄐	⿸鹿糸
U-00026111	𦄑	⿰糸彗
U-00026112	𦄒	⿰糸&JC3-45BB;
U-00026113	𦄓	⿰糸⿱⿲&CDP-8CBD;白&CDP-8C78;几
U-00026114	𦄔	⿰糸窒
U-00026115	𦄕	⿰糸&C4-307D;
U-00026116	𦄖	⿰糸⿱&CDP-86C5;⿵大&CDP-8971;
U-00026117	𦄗	⿰糸𧴿
U-00026118	𦄘	⿰糸𪺏
U-00026119	𦄙	⿰糸䇥
U-0002611A	𦄚	⿰糸⿺辵从
U-0002611B	𦄛	⿰糸㽞
U-0002611C	𦄜	⿰糸⿱㓞示
U-0002611D	𦄝	⿰糸庶
U-0002611E	𦄞	⿰糸問
U-0002611F	𦄟	⿰糸⿸𠂆&MJ012121;
U-00026120	𦄠	⿱訥糸
U-00026121	𦄡	⿰糸⿳日皿&CDP-8B6C;
U-00026122	𦄢	⿰糸庸
U-00026123	𦄣	⿰糸⿳⿱亠儿口&CDP-8B67;
U-00026124	𦄤	⿰糸⿵戊臣
U-00026125	𦄥	⿰糸⿱双志
U-00026126	𦄦	⿰糸蛋
U-00026127	𦄧	⿰糸曹
U-00026128	𦄨	⿰糸⿳士冖糸
U-00026129	𦄩	⿰糸𢧉
U-0002612A	𦄪	⿰糸⿸尸⿳⺌一⿵八二
U-0002612B	𦄫	⿰糸&C2-386C;
U-0002612C	𦄬	⿰糸崑
U-0002612D	𦄭	⿰糸&C1-5D60;
U-0002612E	𦄮	⿰糸⿳⺤冖&MJ000944;
U-0002612F	𦄯	⿱專糸
U-00026130	𦄰	⿰糸國
U-00026131	𦄱	⿰糸⿰亻⿱丙攴
U-00026132	𦄲	⿰糸⿱宀⿰亻㐁
U-00026133	𦄳	⿰⿳彐米人糸
U-00026134	𦄴	⿰糸⿵斉小
U-00026135	𦄵	⿰糸悉
U-00026136	𦄶	⿰糸⿰口芥
U-00026137	𦄷	⿰糸通
U-00026138	𦄸	⿰糸訟
U-00026139	𦄹	⿰糸掉
U-0002613A	𦄺	⿰糸&MJ013542;
U-0002613B	𦄻	⿰糸&MJ025013;
U-0002613C	𦄼	⿰糸須
U-0002613D	𦄽	⿰糸渠
U-0002613E	𦄾	⿰糸菐
U-0002613F	𦄿	⿰糸黑
U-00026140	𦅀	⿰糸尋
U-00026141	𦅁	⿰糸奢
U-00026142	𦅂	⿰糸爲
U-00026143	𦅃	⿰糸焦
U-00026144	𦅄	⿰糸𰕎
U-00026145	𦅅	⿰糸童
U-00026146	𦅆	⿰糸奠
U-00026147	𦅇	⿰糸喪
U-00026148	𦅈	⿰糸彭
U-00026149	𦅉	⿰糸⿸尸禹
