;; -*- coding: utf-8-mcs-er -*-
U-00028000	𨀀	⿰𧾷尒
U-00028001	𨀁	⿰𧾷龙
U-00028002	𨀂	⿱石足
U-00028003	𨀃	⿰𧾷圣
U-00028004	𨀄	⿰𧾷瓦
U-00028005	𨀅	⿰𧾷冉
U-00028006	𨀆	⿰𧾷叏
U-00028007	𨀇	⿰𧾷⿹弓人
U-00028008	𨀈	⿰𧾷北
U-00028009	𨀉	⿰𧾷宁
U-0002800A	𨀊	⿰𧾷孕
U-0002800B	𨀋	⿰𧾷仕
U-0002800C	𨀌	⿰𧾷另
U-0002800D	𨀍	⿰𧾷用
U-0002800E	𨀎	⿰𧾷立
U-0002800F	𨀏	⿰𧾷旦
U-00028010	𨀐	⿰𧾷冬
U-00028011	𨀑	⿱&AJ1-01422;足
U-00028012	𨀒	⿰𧾷布
U-00028013	𨀓	⿰𧾷⿱⺈巳
U-00028014	𨀔	⿰𧾷&CDP-86BF;
U-00028015	𨀕	⿰𧾷匡
U-00028016	𨀖	⿰𧾷亥
U-00028017	𨀗	⿰𧾷𡗢
U-00028018	𨀘	⿰𧾷羊
U-00028019	𨀙	⿰𧾷吉
U-0002801A	𨀚	⿰𧾷尗
U-0002801B	𨀛	⿰𧾷存
U-0002801C	𨀜	⿰𧾷同
U-0002801D	𨀝	⿰𧾷叒
U-0002801E	𨀞	⿰𧾷聿
U-0002801F	𨀟	⿰𧾷㡯
U-00028020	𨀠	⿰𧾷𢇛
U-00028021	𨀡	⿰𧾷灰
U-00028022	𨀢	⿰𧾷𠕋
U-00028023	𨀣	⿰𧾷企
U-00028024	𨀤	⿰𧾷耒
U-00028025	𨀥	⿰𧾷次
U-00028026	𨀦	⿰𧾷&CDP-8CE9;
U-00028027	𨀧	⿰𧾷丞
U-00028028	𨀨	⿰𧾷𡿪
U-00028029	𨀩	⿰𧾷冎
U-0002802A	𨀪	⿰𧾷曲
U-0002802B	𨀫	⿰𧾷⿱𠂉亢
U-0002802C	𨀬	⿰𧾷在
U-0002802D	𨀭	⿰𧾷⿸𠂆⿱十几
U-0002802E	𨀮	⿰𧾷䏍
U-0002802F	𨀯	⿰𧾷邛
U-00028030	𨀰	⿰𧾷冰
U-00028031	𨀱	⿰𧾷麦
U-00028032	𨀲	⿰曲足
U-00028033	𨀳	⿰𧾷伐
U-00028034	𨀴	⿰𧾷旬
U-00028035	𨀵	⿰𧾷庄
U-00028036	𨀶	⿱亦足
U-00028037	𨀷	⿰𧾷米
U-00028038	𨀸	⿰𧾷宅
U-00028039	𨀹	⿰𧾷江
U-0002803A	𨀺	⿰𧾷列
U-0002803B	𨀻	⿰𧾷戎
U-0002803C	𨀼	⿰𧾷老
U-0002803D	𨀽	⿰𧾷吊
U-0002803E	𨀾	⿰𧾷汝
U-0002803F	𨀿	⿰𧾷亙
U-00028040	𨁀	⿸攸足
U-00028041	𨁁	⿰𧾷𭻾
U-00028042	𨁂	⿰𧾷夾
U-00028043	𨁃	⿰𧾷弟
U-00028044	𨁄	⿰𧾷旱
U-00028045	𨁅	⿰𧾷辛
U-00028046	𨁆	⿰𧾷延
U-00028047	𨁇	⿰𧾷吞
U-00028048	𨁈	⿰𧾷更
U-00028049	𨁉	⿰𧾷困
U-0002804A	𨁊	⿰𧾷岑
U-0002804B	𨁋	⿰𧾷豆
U-0002804C	𨁌	⿰𧾷那
U-0002804D	𨁍	⿰𧾷見
U-0002804E	𨁎	⿰𧾷呈
U-0002804F	𨁏	⿰𧾷甫
U-00028050	𨁐	⿰𧾷弃
U-00028051	𨁑	⿰𧾷兌
U-00028052	𨁒	⿰𧾷告
U-00028053	𨁓	⿰𧾷⿱丿&CDP-857E;
U-00028054	𨁔	⿰𧾷作
U-00028055	𨁕	⿰𧾷𠦑
U-00028056	𨁖	⿰𧾷谷
U-00028057	𨁗	⿰𧾷⿺廴壬
U-00028058	𨁘	⿱扯足
U-00028059	𨁙	⿰𧾷免
U-0002805A	𨁚	⿰𧾷完
U-0002805B	𨁛	⿱求足
U-0002805C	𨁜	⿰𧾷扶
U-0002805D	𨁝	⿰𧾷孛
U-0002805E	𨁞	⿰𧾷𥃩
U-0002805F	𨁟	⿰𧾷我
U-00028060	𨁠	⿰𧾷𡉼
U-00028061	𨁡	⿰𧾷妥
U-00028062	𨁢	⿱釆足
U-00028063	𨁣	⿰𧾷⿱夂火
U-00028064	𨁤	⿰𧾷床
U-00028065	𨁥	⿱杜足
U-00028066	𨁦	⿰𧾷弄
U-00028067	𨁧	⿰𧾷⿱山内
U-00028068	𨁨	⿰𧾷狂
U-00028069	𨁩	⿰𧾷把
U-0002806A	𨁪	⿰𧾷酉
U-0002806B	𨁫	⿰𧾷里
U-0002806C	𨁬	⿰𧾷伸
U-0002806D	𨁭	⿰𧾷妙
U-0002806E	𨁮	⿰𧾷吝
U-0002806F	𨁯	⿰𧾷赤
U-00028070	𨁰	⿰𧾷吹
U-00028071	𨁱	⿰𧾷尾
U-00028072	𨁲	⿰𧾷邑
U-00028073	𨁳	⿰𧾷⿹&CDP-86C6;方
U-00028074	𨁴	⿰𧾷间
U-00028075	𨁵	⿰𧾷府
U-00028076	𨁶	⿰𧾷亞
U-00028077	𨁷	⿰𧾷直
U-00028078	𨁸	⿰𧾷戾
U-00028079	𨁹	⿰𧾷炎
U-0002807A	𨁺	⿰𧾷具
U-0002807B	𨁻	⿰𧾷𣏋
U-0002807C	𨁼	⿰𧾷奔
U-0002807D	𨁽	⿰𧾷㝵
U-0002807E	𨁾	⿰𧾷歨
U-0002807F	𨁿	⿰𧾷豖
U-00028080	𨂀	⿰𧾷阻
U-00028081	𨂁	⿰𧾷奄
U-00028082	𨂂	⿰𧾷炙
U-00028083	𨂃	⿰𧾷朋
U-00028084	𨂄	⿰𧾷&C1-4B6E;
U-00028085	𨂅	⿰𧾷㡀
U-00028086	𨂆	⿰𧾷匋
U-00028087	𨂇	⿰𧾷⿸戶止
U-00028088	𨂈	⿰𧾷⿱日王
U-00028089	𨂉	⿰𧾷厓
U-0002808A	𨂊	⿰𧾷周
U-0002808B	𨂋	⿰𧾷斉
U-0002808C	𨂌	⿰𧾷定
U-0002808D	𨂍	⿰𧾷𡘆
U-0002808E	𨂎	⿰𧾷雨
U-0002808F	𨂏	⿰𧾷𣏼
U-00028090	𨂐	⿰𧾷來
U-00028091	𨂑	⿰𧾷⿸虍人
U-00028092	𨂒	⿰𧾷夜
U-00028093	𨂓	⿰𧾷⿱&MJ006315;&MJ006315;
U-00028094	𨂔	⿰𧾷育
U-00028095	𨂕	⿰𧾷林
U-00028096	𨂖	⿰𧾷泣
U-00028097	𨂗	⿰𧾷孤
U-00028098	𨂘	⿰𧾷㸒
U-00028099	𨂙	⿰𧾷京
U-0002809A	𨂚	⿰𧾷⿱丷共
U-0002809B	𨂛	⿰𧾷⿱𡗜干
U-0002809C	𨂜	⿰𧾷虎
U-0002809D	𨂝	⿱並足
U-0002809E	𨂞	⿱足並
U-0002809F	𨂟	⿰𧾷⿳𠂉𡈼儿
U-000280A0	𨂠	⿰𧾷頁
U-000280A1	𨂡	⿰𧾷奏
U-000280A2	𨂢	⿱即足
U-000280A3	𨂣	⿱⿰矛攵足
U-000280A4	𨂤	⿰𧾷致
U-000280A5	𨂥	⿰𧾷客
U-000280A6	𨂦	⿰𧾷彖
U-000280A7	𨂧	⿰𧾷𦍒
U-000280A8	𨂨	⿰𧾷羍
U-000280A9	𨂩	⿰𧾷癹
U-000280AA	𨂪	⿰𧾷彥
U-000280AB	𨂫	⿰𧾷㡿
U-000280AC	𨂬	⿳&CDP-8D52;田足
U-000280AD	𨂭	⿰𧾷毒
U-000280AE	𨂮	⿳&CDP-8AFC;&CDP-8B62;足
U-000280AF	𨂯	⿰𧾷便
U-000280B0	𨂰	⿰𧾷契
U-000280B1	𨂱	⿰𧾷軍
U-000280B2	𨂲	⿰𧾷屏
U-000280B3	𨂳	⿰𧾷㢲
U-000280B4	𨂴	⿰𧾷怱
U-000280B5	𨂵	⿰𧾷臿
U-000280B6	𨂶	⿰𧾷𧆞
