;; -*- coding: utf-8-mcs-er -*-
U-0002A000	𪀀	⿰包鳥
U-0002A001	𪀁	⿰鳥加
U-0002A002	𪀂	⿰鳥幼
U-0002A003	𪀃	⿰鳥卭
U-0002A004	𪀄	⿰占鳥
U-0002A005	𪀅	⿰瓜鳥
U-0002A006	𪀆	⿰仕鳥
U-0002A007	𪀇	⿰鳥丕
U-0002A008	𪀈	⿰夗鳥
U-0002A009	𪀉	⿰可鳥
U-0002A00A	𪀊	⿰鳥句
U-0002A00B	𪀋	⿱&CDP-8CBB;甲
U-0002A00C	𪀌	⿰鳥甲
U-0002A00D	𪀍	⿰鳥氐
U-0002A00E	𪀎	⿰史鳥
U-0002A00F	𪀏	⿰鳥巨
U-0002A010	𪀐	⿰鳥乏
U-0002A011	𪀑	⿰⺪鳥
U-0002A012	𪀒	⿰鳥至
U-0002A013	𪀓	⿰鳥多
U-0002A014	𪀔	⿰鳥寺
U-0002A015	𪀕	⿰曳鳥
U-0002A016	𪀖	⿰尗鳥
U-0002A017	𪀗	⿰危鳥
U-0002A018	𪀘	⿰匠鳥
U-0002A019	𪀙	⿰㬰鳥
U-0002A01A	𪀚	⿰鳥戎
U-0002A01B	𪀛	⿱&C4-2263;鳥
U-0002A01C	𪀜	⿰朿鳥
U-0002A01D	𪀝	⿱屰鳥
U-0002A01E	𪀞	⿰巟鳥
U-0002A01F	𪀟	⿰回鳥
U-0002A020	𪀠	⿰鳥旬
U-0002A021	𪀡	⿱&CDP-8CE9;鳥
U-0002A022	𪀢	⿰伏鳥
U-0002A023	𪀣	⿰⿱㐅木鳥
U-0002A024	𪀤	⿰鳥江
U-0002A025	𪀥	⿰宅鳥
U-0002A026	𪀦	⿰式鳥
U-0002A027	𪀧	⿱老鳥
U-0002A028	𪀨	⿰𢆶鳥
U-0002A029	𪀩	⿰多鳥
U-0002A02A	𪀪	⿱休鳥
U-0002A02B	𪀫	⿰⿱&G0-6566;&G0-6566;鳥
U-0002A02C	𪀬	⿰灰鳥
U-0002A02D	𪀭	⿰同鳥
U-0002A02E	𪀮	⿱好鳥
U-0002A02F	𪀯	⿰光鳥
U-0002A030	𪀰	⿱衣鳥
U-0002A031	𪀱	⿳宀大鳥
U-0002A032	𪀲	⿱&CDP-8BFA;鳥
U-0002A033	𪀳	⿱鳥米
U-0002A034	𪀴	⿰鳥聿
U-0002A035	𪀵	⿱戎鳥
U-0002A036	𪀶	⿰⿱匕木鳥
U-0002A037	𪀷	⿺先鳥
U-0002A038	𪀸	⿰鳥式
U-0002A039	𪀹	⿰西鳥
U-0002A03A	𪀺	⿰鳥⿱上女
U-0002A03B	𪀻	⿱牝鳥
U-0002A03C	𪀼	⿰任鳥
U-0002A03D	𪀽	⿰旬鳥
U-0002A03E	𪀾	⿱舛鳥
U-0002A03F	𪀿	⿰米鳥
U-0002A040	𪁀	⿰聿鳥
U-0002A041	𪁁	⿰⿱又木鳥
U-0002A042	𪁂	⿰亦鳥
U-0002A043	𪁃	⿰件鳥
U-0002A044	𪁄	⿰鳥吉
U-0002A045	𪁅	⿰色鳥
U-0002A046	𪁆	⿰鳥后
U-0002A047	𪁇	⿰𠘺鳥
U-0002A048	𪁈	⿰庄鳥
U-0002A049	𪁉	⿰鳥&MJ006467;
U-0002A04A	𪁊	⿱折鳥
U-0002A04B	𪁋	⿰成鳥
U-0002A04C	𪁌	⿰赤鳥
U-0002A04D	𪁍	⿱劫鳥
U-0002A04E	𪁎	⿰肖鳥
U-0002A04F	𪁏	⿰岑鳥
U-0002A050	𪁐	⿱利鳥
U-0002A051	𪁑	⿰兌鳥
U-0002A052	𪁒	⿰鳥尨
U-0002A053	𪁓	⿰志鳥
U-0002A054	𪁔	⿰牢鳥
U-0002A055	𪁕	⿱沃鳥
U-0002A056	𪁖	⿰求鳥
U-0002A057	𪁗	⿰鳥邑
U-0002A058	𪁘	⿱汪鳥
U-0002A059	𪁙	⿰吾鳥
U-0002A05A	𪁚	⿱&CDP-8C4D;鳥
U-0002A05B	𪁛	⿰役鳥
U-0002A05C	𪁜	⿰良鳥
U-0002A05D	𪁝	⿰𠯑鳥
U-0002A05E	𪁞	⿰豆鳥
U-0002A05F	𪁟	⿰含鳥
U-0002A060	𪁠	⿰決鳥
U-0002A061	𪁡	⿰⿱㐅⿸𠂇子鳥
U-0002A062	𪁢	⿰防鳥
U-0002A063	𪁣	⿰呆鳥
U-0002A064	𪁤	⿰皃鳥
U-0002A065	𪁥	⿰豕鳥
U-0002A066	𪁦	⿰鳥⿸𠂆&CDP-89ED;
U-0002A067	𪁧	⿰辰鳥
U-0002A068	𪁨	⿱鳥邑
U-0002A069	𪁩	⿰鳥弟
U-0002A06A	𪁪	⿰尨鳥
U-0002A06B	𪁫	⿰鳥戒
U-0002A06C	𪁬	⿰⿱匕矢鳥
U-0002A06D	𪁭	⿰鳥甫
U-0002A06E	𪁮	⿰秀鳥
U-0002A06F	𪁯	⿰鳥⿸𠂆卡
U-0002A070	𪁰	⿰豸鳥
U-0002A071	𪁱	⿰床鳥
U-0002A072	𪁲	⿱初鳥
U-0002A073	𪁳	⿰吕鳥
U-0002A074	𪁴	⿰鳥谷
U-0002A075	𪁵	⿰局鳥
U-0002A076	𪁶	⿱&C3-2731;鳥
U-0002A077	𪁷	⿰鳥⿱必山
U-0002A078	𪁸	⿰鳥羌
U-0002A079	𪁹	⿰鳥非
U-0002A07A	𪁺	⿰尚鳥
U-0002A07B	𪁻	⿱析鳥
U-0002A07C	𪁼	⿰帛鳥
U-0002A07D	𪁽	⿰卒鳥
U-0002A07E	𪁾	⿰芺鳥
U-0002A07F	𪁿	⿱松鳥
U-0002A080	𪂀	⿰鳥斧
U-0002A081	𪂁	⿰宓鳥
U-0002A082	𪂂	⿰𠦝鳥
U-0002A083	𪂃	⿰鳥卑
U-0002A084	𪂄	⿰侈鳥
U-0002A085	𪂅	⿱枝鳥
U-0002A086	𪂆	⿰昏鳥
U-0002A087	𪂇	⿰昌鳥
U-0002A088	𪂈	⿰炎鳥
U-0002A089	𪂉	⿰或鳥
U-0002A08A	𪂊	⿰鳥陀
U-0002A08B	𪂋	⿰鳥帚
U-0002A08C	𪂌	⿰沓鳥
U-0002A08D	𪂍	⿰⿱开开鳥
U-0002A08E	𪂎	⿰鳥享
U-0002A08F	𪂏	⿱非鳥
U-0002A090	𪂐	⿰&U-i001+5DEB;鳥
U-0002A091	𪂑	⿰底鳥
U-0002A092	𪂒	⿰忽鳥
U-0002A093	𪂓	⿰岨鳥
U-0002A094	𪂔	⿰沮鳥
U-0002A095	𪂕	⿰雨鳥
U-0002A096	𪂖	⿱服鳥
U-0002A097	𪂗	⿱⿰尸⿱亠⿰⿱丿𠄌丶鳥
U-0002A098	𪂘	⿰尒鳴
U-0002A099	𪂙	⿰鳥朋
U-0002A09A	𪂚	⿰鳥坴
U-0002A09B	𪂛	⿰⿱艹氏鳥
U-0002A09C	𪂜	⿱枚鳥
U-0002A09D	𪂝	⿱鳥東
U-0002A09E	𪂞	⿰非鳥
U-0002A09F	𪂟	⿱㡀鳥
U-0002A0A0	𪂠	⿰果鳥
U-0002A0A1	𪂡	⿱明鳥
U-0002A0A2	𪂢	⿰岸鳥
U-0002A0A3	𪂣	⿱隹鳥
U-0002A0A4	𪂤	⿰命鳥
U-0002A0A5	𪂥	⿰斧鳥
U-0002A0A6	𪂦	⿱宛鳥
U-0002A0A7	𪂧	⿱&CDP-8CBB;宛
U-0002A0A8	𪂨	⿰⿱必山鳥
U-0002A0A9	𪂩	⿰隶鳥
U-0002A0AA	𪂪	⿰帚鳥
U-0002A0AB	𪂫	⿱兓鳥
U-0002A0AC	𪂬	⿰虎鳥
U-0002A0AD	𪂭	⿱鳥宛
U-0002A0AE	𪂮	⿰孤鳥
U-0002A0AF	𪂯	⿰鳥姑
U-0002A0B0	𪂰	⿰鳥&AJ1-03080;
U-0002A0B1	𪂱	⿰鳥卓
U-0002A0B2	𪂲	⿱孤鳥
U-0002A0B3	𪂳	⿰鳥昆
U-0002A0B4	𪂴	⿰鳥青
U-0002A0B5	𪂵	⿱或鳥
U-0002A0B6	𪂶	⿰咸鳥
U-0002A0B7	𪂷	⿰鳥矦
U-0002A0B8	𪂸	⿰⿳宀⿱八𠆢又鳥
U-0002A0B9	𪂹	⿰春鳥
U-0002A0BA	𪂺	⿰急鳥
U-0002A0BB	𪂻	⿰弇鳥
U-0002A0BC	𪂼	⿱相鳥
U-0002A0BD	𪂽	⿰盆鳥
U-0002A0BE	𪂾	⿰飠鳥
U-0002A0BF	𪂿	⿰鳥是
U-0002A0C0	𪃀	⿰鳥咼
U-0002A0C1	𪃁	⿱保鳥
U-0002A0C2	𪃂	⿱流鳥
U-0002A0C3	𪃃	⿰复鳥
U-0002A0C4	𪃄	⿰思鳥
U-0002A0C5	𪃅	⿱削鳥
U-0002A0C6	𪃆	⿰鳥奏
U-0002A0C7	𪃇	⿰⿱吉夨鳥
U-0002A0C8	𪃈	⿰契鳥
U-0002A0C9	𪃉	⿰耎鳥
U-0002A0CA	𪃊	⿰&C4-2861;鳥
U-0002A0CB	𪃋	⿰垔鳥
U-0002A0CC	𪃌	⿰昜鳥
U-0002A0CD	𪃍	⿰禺鳥
U-0002A0CE	𪃎	⿰&C1-4F7E;鳥
U-0002A0CF	𪃏	⿰某鳥
U-0002A0D0	𪃐	⿰鳥眇
U-0002A0D1	𪃑	⿰冒鳥
U-0002A0D2	𪃒	⿰度鳥
U-0002A0D3	𪃓	⿰負鳥
U-0002A0D4	𪃔	⿰苠鳥
U-0002A0D5	𪃕	⿰洛鳥
U-0002A0D6	𪃖	⿰⿱艹氐鳥
U-0002A0D7	𪃗	⿰鳥宣
U-0002A0D8	𪃘	⿱哉鳥
U-0002A0D9	𪃙	⿰者鳥
U-0002A0DA	𪃚	⿰⿱止示鳥
U-0002A0DB	𪃛	⿰彥鳥
U-0002A0DC	𪃜	⿰宀⿳工口鳥
U-0002A0DD	𪃝	⿰待鳥
U-0002A0DE	𪃞	⿰鳥苗
U-0002A0DF	𪃟	⿹⿰⿱士冖殳鳥
U-0002A0E0	𪃠	⿱勅鳥
U-0002A0E1	𪃡	⿰洪鳥
U-0002A0E2	𪃢	⿰南鳥
U-0002A0E3	𪃣	⿱春鳥
U-0002A0E4	𪃤	⿰奊鳥
U-0002A0E5	𪃥	⿰木瞗
U-0002A0E6	𪃦	⿰眇鳥
U-0002A0E7	𪃧	⿱眇鳥
U-0002A0E8	𪃨	⿰幽鳥
U-0002A0E9	𪃩	⿰秋鳥
U-0002A0EA	𪃪	⿰臾鳥
U-0002A0EB	𪃫	⿰垕鳥
U-0002A0EC	𪃬	⿰酋鳥
U-0002A0ED	𪃭	⿰客鳥
U-0002A0EE	𪃮	⿰屋鳥
U-0002A0EF	𪃯	⿰昬鳥
U-0002A0F0	𪃰	⿰⿱厶貝鳥
U-0002A0F1	𪃱	⿰厚鳥
U-0002A0F2	𪃲	⿰鳥者
U-0002A0F3	𪃳	⿱英鳥
U-0002A0F4	𪃴	⿰鳥⿱⺤可
U-0002A0F5	𪃵	⿰鳥查
U-0002A0F6	𪃶	⿰侯鳥
U-0002A0F7	𪃷	⿰⿱且小鳥
U-0002A0F8	𪃸	⿰⿱世木鳥
U-0002A0F9	𪃹	⿱即鳥
U-0002A0FA	𪃺	⿰冓鳥
U-0002A0FB	𪃻	⿱脈鳥
U-0002A0FC	𪃼	⿰息鳥
U-0002A0FD	𪃽	⿰浮鳥
U-0002A0FE	𪃾	⿰容鳥
U-0002A0FF	𪃿	⿰哥鳥
U-0002A100	𪄀	⿱般鳥
U-0002A101	𪄁	⿰原鳥
U-0002A102	𪄂	⿰夏鳥
U-0002A103	𪄃	⿰⿱幵木鳥
U-0002A104	𪄄	⿰凋鳥
U-0002A105	𪄅	⿱殺鳥
U-0002A106	𪄆	⿰𣬉鳥
U-0002A107	𪄇	⿰釜鳥
U-0002A108	𪄈	⿰鳥秦
U-0002A109	𪄉	⿰邕鳥
U-0002A10A	𪄊	⿰䀠鳥
U-0002A10B	𪄋	⿰⿱宀&CDP-85A7;山鳥
U-0002A10C	𪄌	⿰貢鳥
U-0002A10D	𪄍	⿰⿱吅𡕒鳥
U-0002A10E	𪄎	⿱格鳥
U-0002A10F	𪄏	⿰⿱&MJ024197;分鳥
U-0002A110	𪄐	⿰⿳十龷木鳥
U-0002A111	𪄑	⿰⿳穴厶夂鳥
U-0002A112	𪄒	⿱髟鳥
U-0002A113	𪄓	⿰鳥宼
U-0002A114	𪄔	⿰鳥&AJ1-01614;
U-0002A115	𪄕	⿰班鳥
U-0002A116	𪄖	⿰耆鳥
U-0002A117	𪄗	⿰⿱&CDP-8D44;火鳥
U-0002A118	𪄘	⿰⿱右冋鳥
U-0002A119	𪄙	⿱䀠鳥
U-0002A11A	𪄚	⿰&C4-2F31;鳥
U-0002A11B	𪄛	⿰鳥息
U-0002A11C	𪄜	⿰師鳥
U-0002A11D	𪄝	⿰鳥烏
U-0002A11E	𪄞	⿰鳥芻
U-0002A11F	𪄟	⿰鳥旃
U-0002A120	𪄠	⿰涑鳥
U-0002A121	𪄡	⿰展鳥
U-0002A122	𪄢	⿰⿱&CDP-8CAF;比鳥
