;; -*- coding: utf-8-mcs-er -*-
U+2B820	𫠠	⿻一乚
U+2B821	𫠡	⿱一个
U+2B822	𫠢	⿱上丁
U+2B823	𫠣	𫠣
U+2B824	𫠤	⿱龶&CDP-8B6C;	⿱𰀁万	⿱士方	⿱龶勹
U+2B825	𫠥	⿺𠃊丙
U+2B826	𫠦	⿱一⿲丨&CDP-8BEA;亇
U+2B827	𫠧	⿰午下
U+2B828	𫠨	⿱𠂤一
U+2B829	𫠩	⿱一𢆶
U+2B82A	𫠪	⿰以下
U+2B82B	𫠫	⿱不元
U+2B82C	𫠬	⿱不中
U+2B82D	𫠭	⿰不不
U+2B82E	𫠮	⿰至下
U+2B82F	𫠯	⿰弄下
U+2B830	𫠰	⿰下我
U+2B831	𫠱	⿱𣄼正
U+2B832	𫠲	⿱不曲
U+2B833	𫠳	⿰下侖
U+2B834	𫠴	⿰丘会
U+2B835	𫠵	⿱𦣻冄
U+2B836	𫠶	⿱不肯
U+2B837	𫠷	⿱上俸
U+2B838	𫠸	⿱上消
U+2B839	𫠹	⿱上能
U+2B83A	𫠺	⿱上恳
U+2B83B	𫠻	⿱不信
U+2B83C	𫠼	⿱上捉
U+2B83D	𫠽	⿱上情
U+2B83E	𫠾	⿴⿱𰀉囗貝
U+2B83F	𫠿	⿱上登
U+2B840	𫡀	⿰並斉
U+2B841	𫡁	⿱兼並
U+2B842	𫡂	⿰兼並
U+2B843	𫡃	⿲丨一丨
U+2B844	𫡄	⿱乃丨
U+2B845	𫡅	⿰丩丩
U+2B846	𫡆	⿸𠁣彐
U+2B847	𫡇	⿰分中
U+2B848	𫡈	⿲丨幸丨
U+2B849	𫡉	⿰字中
U+2B84A	𫡊	⿲丨執丨
U+2B84B	𫡋	⿰⿱韭井丮
U+2B84C	𫡌	⿰串卷
U+2B84D	𫡍	⿰雉串
U+2B84E	𫡎	⿰磊串
U+2B84F	𫡏	⿰丿丆	⿱𠂉丿
U+2B850	𫡐	⿰乃亇
U+2B851	𫡑	⿻亻从
U+2B852	𫡒	⿱丿&CDP-86BF;
U+2B853	𫡓	⿱𠂊𣱱
U+2B854	𫡔	⿰亇丐
U+2B855	𫡕	⿱丿求
U+2B856	𫡖	⿰壬丮
U+2B857	𫡗	⿰丰丮
U+2B858	𫡘	⿰壬夬
U+2B859	𫡙	⿻乖一
U+2B85A	𫡚	⿰𠂤于
U+2B85B	𫡛	⿰夷之
U+2B85C	𫡜	⿰𠂤𠂔
U+2B85D	𫡝	⿰乃是
U+2B85E	𫡞	⿰𠂤⿱亠𠔃
U+2B85F	𫡟	⿱無亡
U+2B860	𫡠	⿰久買
U+2B861	𫡡	⿱喬豫
U+2B862	𫡢	⿺乙土
U+2B863	𫡣	⿰乙攵
U+2B864	𫡤	⿱九⿰九九
U+2B865	𫡥	⿺乙合
U+2B866	𫡦	⿰㐱九
U+2B867	𫡧	⿹⺄丢
U+2B868	𫡨	⿺乙求
U+2B869	𫡩	⿱也⿰也也
U+2B86A	𫡪	⿰某乙
U+2B86B	𫡫	⿺乙南
U+2B86C	𫡬	⿰丸呙
U+2B86D	𫡭	⿰埋乙
U+2B86E	𫡮	⿺迷乙
U+2B86F	𫡯	⿰朝乙
U+2B870	𫡰	⿱九⿲百十千
U+2B871	𫡱	⿱双二
U+2B872	𫡲	⿰五下
U+2B873	𫡳	⿰井丮
U+2B874	𫡴	⿳一⿰文目一
U+2B875	𫡵	⿰五南
U+2B876	𫡶	⿰云甚
U+2B877	𫡷	⿰亞百
