;; -*- coding: utf-8-mcs-er -*-
U+2CEB0	𬺰	⿻一亅
U+2CEB1	𬺱	⿹十丿
U+2CEB2	𬺲	⿱几一
U+2CEB3	𬺳	⿱一刀
U+2CEB4	𬺴	⿱刁一
U+2CEB5	𬺵	⿻亐一
U+2CEB6	𬺶	⿱一&U-i001+5C71;
U+2CEB7	𬺷	𬺷
U+2CEB8	𬺸	⿻丷𠀁
U+2CEB9	𬺹	⿴&AJ1-14521;一
U+2CEBA	𬺺	⿻口𠀁
U+2CEBB	𬺻	𬺻
U+2CEBC	𬺼	⿰丁也
U+2CEBD	𬺽	⿱七⿻儿一
U+2CEBE	𬺾	⿻⿻口乚一
U+2CEBF	𬺿	⿸𰀉丶
U+2CEC0	𬻀	⿱ササ
U+2CEC1	𬻁	⿱下土
U+2CEC2	𬻂	𬻂
U+2CEC3	𬻃	⿱丆⿵几⿰丨丨
U+2CEC4	𬻄	⿱丁⿰丁丁
U+2CEC5	𬻅	⿰丁六
U+2CEC6	𬻆	𬻆
U+2CEC7	𬻇	⿱一⿻&CDP-8969;口
U+2CEC8	𬻈	⿱&CDP-v001-88B3;&CDP-v001-88B3;
U+2CEC9	𬻉	⿱一⿻⿴尸一丨
U+2CECA	𬻊	⿱天下
U+2CECB	𬻋	⿱サ⿸サ丶
U+2CECC	𬻌	⿸⿻一申丶
U+2CECD	𬻍	⿹⿻一申丿
U+2CECE	𬻎	⿱七加
U+2CECF	𬻏	⿱引上
U+2CED0	𬻐	⿱一𭥌
U+2CED1	𬻑	⿱𠚤&U-v002+4E11;
U+2CED2	𬻒	⿹⿻⿻𫠠&CDP-8C78;冖𠃌
U+2CED3	𬻓	⿱龙下
U+2CED4	𬻔	⿱一⿰&U-v004+65E5;&CDP-89BC;
U+2CED5	𬻕	⿳一丷𡆤
U+2CED6	𬻖	⿰丁&AJ1-02541;
U+2CED7	𬻗	⿰丁争
U+2CED8	𬻘	⿱&U-v002+4E11;&U-v002+4E11;
U+2CED9	𬻙	⿱托下
U+2CEDA	𬻚	⿱足丁
U+2CEDB	𬻛	⿰不去
U+2CEDC	𬻜	⿳一⿳一&AJ1-14367;一一
U+2CEDD	𬻝	⿱⿳𠂉&AJ1-14367;一一
U+2CEDE	𬻞	𬻞
U+2CEDF	𬻟	𬻟
U+2CEE0	𬻠	⿱一⿱吅大	⿱一&AJ1-04384;
U+2CEE1	𬻡	⿱拉下
U+2CEE2	𬻢	⿰来斗
U+2CEE3	𬻣	⿰丁穿
U+2CEE4	𬻤	⿱紅丁
U+2CEE5	𬻥	⿱⿰龶龶&CDP-v001-88B3;
U+2CEE6	𬻦	⿰开卖
U+2CEE7	𬻧	⿱⿱𰀉冖且
U+2CEE8	𬻨	⿱独下
U+2CEE9	𬻩	⿱根下
U+2CEEA	𬻪	⿰㱏我
U+2CEEB	𬻫	⿱𰀉&CDP-8A49;
U+2CEEC	𬻬	⿱𫩠⿻口丄
U+2CEED	𬻭	⿰丢&AJ1-04764;
U+2CEEE	𬻮	⿰来&AJ1-02847;
U+2CEEF	𬻯	⿰丢往
U+2CEF0	𬻰	⿰下&MJ024203;
U+2CEF1	𬻱	⿱⿰⿵冂丨田⿳山⿰亻斦一
U+2CEF2	𬻲	⿰丩刄
U+2CEF3	𬻳	⿰中丁
U+2CEF4	𬻴	⿰𠁣令
U+2CEF5	𬻵	⿱𠚤&A-CDP-8CDE;
U+2CEF6	𬻶	⿱江中
