;; -*- coding: utf-8-mcs-er -*-
U+30000	𰀀	⿱一𠄌
U+30001	𰀁	⿻二丨
U+30002	𰀂	⿷匚一
U+30003	𰀃	⿱一冂
U+30004	𰀄	⿻匚一
U+30005	𰀅	⿱丸一
U+30006	𰀆	⿳一丷一
U+30007	𰀇	⿰丂丂
U+30008	𰀈	⿱𰀁龴
U+30009	𰀉	⿻一中
U+3000A	𰀊	⿱⿻𠀃丨㇉
U+3000B	𰀋	⿺七⿰川丨
U+3000C	𰀌	⿱一吊
U+3000D	𰀍	⿰不牙
U+3000E	𰀎	⿱上⿰上上
U+3000F	𰀏	⿰上艮
U+30010	𰀐	⿱一⿺先厶
U+30011	𰀑	⿰丢才
U+30012	𰀒	⿱丙丙
U+30013	𰀓	⿱一⿰里几
U+30014	𰀔	⿱𣄼⿵𠘨土
U+30015	𰀕	⿰丙丙
U+30016	𰀖	⿱一國
U+30017	𰀗	⿳上⿰上上上
U+30018	𰀘	⿱不⿰安人
U+30019	𰀙	⿰天扁
U+3001A	𰀚	⿱不政
U+3001B	𰀛	⿳一昍⿵𠘨土
U+3001C	𰀜	⿰歪必
U+3001D	𰀝	⿱且⿰且且
U+3001E	𰀞	⿰雷丑
U+3001F	𰀟	⿱不⿰束⿱攵正
U+30020	𰀠	⿰丨𡿨
U+30021	𰀡	⿲丨丨又
U+30022	𰀢	⿲丨丨⿱𠂉丶
U+30023	𰀣	⿰丩夫
U+30024	𰀤	⿰𠁣王
U+30025	𰀥	⿰㠯予
U+30026	𰀦	⿰㠯㠯
U+30027	𰀧	⿰丩周
U+30028	𰀨	⿰累串
U+30029	𰀩	⿰主主
U+3002A	𰀪	⿱丿丿
U+3002B	𰀫	⿰丿㇈
U+3002C	𰀬	⿱乃乆
U+3002D	𰀭	⿰乘力
U+3002E	𰀮	⿰𠂤朿
U+3002F	𰀯	⿱乃浪
U+30030	𰀰	⿳⺄⺄⺄
U+30031	𰀱	⿱巜巜
U+30032	𰀲	⿱不乙
U+30033	𰀳	⿹⺄尤
U+30034	𰀴	⿱毛乙
U+30035	𰀵	⿺𠃊屲
U+30036	𰀶	⿱龸乙
U+30037	𰀷	⿰⿱山几乚
U+30038	𰀸	⿱也也
U+30039	𰀹	⿱禾乙
U+3003A	𰀺	⿰永乚
U+3003B	𰀻	⿰召乚
U+3003C	𰀼	⿹⺄台
U+3003D	𰀽	⿱覀乙
U+3003E	𰀾	⿺𠃊西
U+3003F	𰀿	⿱伐乙
U+30040	𰁀	⿹⺄并
U+30041	𰁁	⿱走乙
U+30042	𰁂	⿱助乙
U+30043	𰁃	⿱兵乙
U+30044	𰁄	⿱具乙
U+30045	𰁅	⿱味乙
U+30046	𰁆	⿱知乙
U+30047	𰁇	⿺九求
U+30048	𰁈	⿰书史
U+30049	𰁉	⿱是乙
U+3004A	𰁊	⿱則乙
U+3004B	𰁋	⿹⺄品
U+3004C	𰁌	⿹⺄竝
U+3004D	𰁍	⿱野乙
U+3004E	𰁎	⿱鉅乙
U+3004F	𰁏	⿹⺄辡
U+30050	𰁐	⿺𠃊⿳⺊日⿴囗𠂭
U+30051	𰁑	⿰𡦢乚
